"model_name","test","n_items","chi_square","df","q_effect_w","p_value"
"qwen25_3b","Cochran_Q",295,364.058091286307,2,0.617047612349673,8.82652856545057e-80
"qwen25_7b","Cochran_Q",296,164.859649122807,2,0.278479137031769,1.58921277948213e-36
"llama3_8b","Cochran_Q",296,191.385826771654,2,0.323286869546712,2.7611866139446e-42
"mistral_7b","Cochran_Q",295,367.772151898734,2,0.623342630336838,1.37813548826502e-80
"gemma2_9b","Cochran_Q",296,175.881355932203,2,0.297096885020614,6.42464040207337e-39
"qwen25_14b","Cochran_Q",296,129.877551020408,2,0.219387755102041,6.2726078086722e-29
"qwen25_32b","Cochran_Q",296,76.8813559322034,2,0.129867155290884,2.02034565840643e-17
"qwen25_72b","Cochran_Q",287,176.48275862069,2,0.307461251952421,4.75615380008581e-39
