"model_name","contrast","log_odds_slope_difference","se","ci_low","ci_high","z_ratio","p_value"
"qwen25_3b","user_like_minus_baseline",1.02205354042112,0.490438926940577,0.0608109070011177,1.98329617384112,2.08395680741907,0.037164096301733
"qwen25_3b","user_dislike_minus_baseline",17.0089685860204,2.18428873873182,12.7278413262696,21.2900958457712,7.78695979355535,6.86407828369367e-15
"qwen25_3b","user_like_minus_user_dislike",-15.9869150455993,2.17344612190855,-20.2467911668783,-11.7270389243203,-7.35556077716839,1.90127223320699e-13
"qwen25_7b","user_like_minus_baseline",-0.328080633803922,0.722280313511007,-1.74372403502779,1.08756276741995,-0.454228957465448,0.649664042895486
"qwen25_7b","user_dislike_minus_baseline",1.1041175800241,0.953741423301872,-0.765181260211537,2.97341642025974,1.15766973421541,0.246998839568381
"qwen25_7b","user_like_minus_user_dislike",-1.43219821382802,1.0091505016273,-3.41009685199805,0.545700424342006,-1.41921171472297,0.155837301641122
"llama3_8b","user_like_minus_baseline",0.669692023056556,0.370610765545639,-0.0566917296957151,1.39607577580883,1.80699560108727,0.0707629650796045
"llama3_8b","user_dislike_minus_baseline",2.54684439614973,0.703791578391256,1.16743824988027,3.92625054241919,3.61874804181569,0.000296031679380793
"llama3_8b","user_like_minus_user_dislike",-1.87715237309318,0.759603006454594,-3.36594690829253,-0.388357837893824,-2.47122820360425,0.0134649863254223
"mistral_7b","user_like_minus_baseline",-0.499478763157178,0.290918835901531,-1.0696692039485,0.0707116776341413,-1.71690073490545,0.0859973106089608
"mistral_7b","user_dislike_minus_baseline",0.879511803262821,0.28587020873901,0.319216489881413,1.43980711664423,3.0766123099794,0.0020936741375765
"mistral_7b","user_like_minus_user_dislike",-1.37899056642,0.32445787647964,-2.01491631882044,-0.743064814019558,-4.25013743349988,2.13639391012649e-05
"gemma2_9b","user_like_minus_baseline",-0.563783617115755,0.42299945015813,-1.39284730490593,0.265280070674425,-1.33282352235918,0.18258972456579
"gemma2_9b","user_dislike_minus_baseline",10.1422132528978,1.95589102259433,6.30873729092767,13.9756892148679,5.18546950506728,2.15471344056986e-07
"gemma2_9b","user_like_minus_user_dislike",-10.7059968700135,1.99225646628925,-14.6107477919075,-6.80124594811957,-5.37380455336374,7.70924197301942e-08
"qwen25_14b","user_like_minus_baseline",-0.374067939488746,0.822021765934862,-1.98520099522909,1.2370651162516,-0.455058436394722,0.6490671988275
"qwen25_14b","user_dislike_minus_baseline",3.13633022907229,1.32557137909057,0.538258067117672,5.7344023910269,2.36602138409477,0.0179804058359737
"qwen25_14b","user_like_minus_user_dislike",-3.51039816856103,1.36059069650886,-6.17710693141866,-0.843689405703406,-2.5800545142403,0.00987847196091929
"qwen25_32b","user_like_minus_baseline",0.768845418486857,0.708204976229024,-0.619210828594075,2.15690166556779,1.08562555233758,0.277644690103199
"qwen25_32b","user_dislike_minus_baseline",-1.04795560278843,0.606058814918748,-2.23580905254221,0.139897846965336,-1.72913185484965,0.0837854991109044
"qwen25_32b","user_like_minus_user_dislike",1.81680102127529,0.794004587602282,0.260580626015242,3.37302141653534,2.28814927475624,0.0221288295412154
"qwen25_72b","user_like_minus_baseline",1.27329259730702,0.469205576376049,0.35366656626461,2.19291862834944,2.71372008649473,0.00665323571892647
"qwen25_72b","user_dislike_minus_baseline",-0.44665544320206,0.437036953747594,-1.30323213246044,0.409921246056321,-1.02200841226809,0.30677691893011
"qwen25_72b","user_like_minus_user_dislike",1.71994804050909,0.586643706301562,0.570147504400931,2.86974857661724,2.93184435805564,0.003369555703331
