"model_name","contrast","n_pairs","estimate","paired_sd","standardized_paired_effect_dz","se","df","ci_low","ci_high","t_ratio","p_value"
"qwen25_3b","user_like_minus_baseline",296,0.397305209365791,0.426536041038294,0.931469257319154,0.0247919038049192,295,0.34705898929771,0.446220412759576,16.02560305542,5.18456500348372e-42
"qwen25_3b","user_dislike_minus_baseline",296,-1.02857900615829,0.783525512665375,-1.31275751654761,0.0455414953714451,295,-1.11688643281333,-0.940352696563447,-22.5855343081953,2.82037955244537e-66
"qwen25_3b","user_like_minus_user_dislike",296,1.42588421552408,0.915865704761903,1.55687041026912,0.0532336127925076,295,1.32005913295755,1.52890255409053,26.7854113355382,5.57792956584795e-81
"qwen25_7b","user_like_minus_baseline",296,0.110358003339921,0.178995601239123,0.616540309236382,0.0104039079947891,295,0.0896630697493152,0.131133440750325,10.6073605605888,1.7569792477136e-22
"qwen25_7b","user_dislike_minus_baseline",296,-0.580828194055428,0.479440073188037,-1.21147193682249,0.0278668882136366,295,-0.635536223433428,-0.526860308116189,-20.8429513048824,6.12336759122006e-60
"qwen25_7b","user_like_minus_user_dislike",296,0.691186197395349,0.524073174284402,1.31887345376747,0.0304611345197699,295,0.629240565688192,0.750582517934215,22.6907568707513,1.17934113183643e-66
"llama3_8b","user_like_minus_baseline",296,0.30621291466887,0.224450476609196,1.36427830002801,0.0130459189603719,295,0.280475177861862,0.331638297164072,23.4719313832178,1.88712777471998e-69
"llama3_8b","user_dislike_minus_baseline",296,-0.627083155298799,0.440863680980049,-1.42239695024271,0.0256246809609196,295,-0.677397341654852,-0.579001176759714,-24.4718424496745,5.47793059129072e-73
"llama3_8b","user_like_minus_user_dislike",296,0.933296069967669,0.585236571854895,1.59473299320582,0.0340161847923295,295,0.864786378937777,0.997789727638155,27.4368238432819,3.52241485335221e-83
"mistral_7b","user_like_minus_baseline",296,1.18943907501388,0.246351967039884,4.82821017954898,0.0143189172341409,295,1.16138916358014,1.21767635093444,83.0676688442532,1.14888946501705e-206
"mistral_7b","user_dislike_minus_baseline",296,-1.03270157488322,0.671562119659061,-1.53776031234088,0.03903375534008,295,-1.10658032336075,-0.95710951059625,-26.4566287790106,7.33279106888431e-80
"mistral_7b","user_like_minus_user_dislike",296,2.2221406498971,0.746752924004522,2.9757374607664,0.0434041320702842,295,2.13546824995226,2.30560876602886,51.1965230936722,8.51921482355786e-149
"gemma2_9b","user_like_minus_baseline",296,0.765003232161352,0.274254254345824,2.78939422101621,0.0159407047415745,295,0.734422265392141,0.794826100997924,47.9905527743809,2.13708525427764e-141
"gemma2_9b","user_dislike_minus_baseline",296,-0.942722249501473,0.576873533272031,-1.63419223647572,0.0335300930483388,295,-1.00730293839509,-0.877217394463751,-28.11570633408,1.89996559552441e-85
"gemma2_9b","user_like_minus_user_dislike",296,1.70772548166283,0.778256530256159,2.19429637307474,0.0452352419896181,295,1.61958283023536,1.79251499082683,37.7521022669617,5.71837554112e-115
"qwen25_14b","user_like_minus_baseline",296,0.288896113138497,0.226317381580339,1.27650872911829,0.0131544306076992,295,0.262785302052772,0.314808174328832,21.9618865881895,5.0618072967099e-64
"qwen25_14b","user_dislike_minus_baseline",296,-0.53885621675109,0.545705034794324,-0.987449597114648,0.0317184608727269,295,-0.601842623673961,-0.476180150565143,-16.9887252383808,1.29712768455617e-45
"qwen25_14b","user_like_minus_user_dislike",296,0.827752329889588,0.650807784000984,1.27188449529721,0.037827434083106,295,0.755886597376663,0.900384657838908,21.8823282613099,9.8401546618376e-64
"qwen25_32b","user_like_minus_baseline",296,0.0610626197157599,0.399673444848163,0.152781278073047,0.0232305471161035,295,0.0157557747472504,0.105150502358491,2.62854849739768,0.00902408699559656
"qwen25_32b","user_dislike_minus_baseline",296,-0.551705946491015,0.613583718167573,-0.89915349797522,0.0356638292043167,295,-0.621140038597924,-0.481838599827975,-15.469621709164,6.14645818953212e-40
"qwen25_32b","user_like_minus_user_dislike",296,0.612768566206775,0.842282464810336,0.727509584738604,0.0489566738447628,295,0.518254596793784,0.708284430141398,12.5165481656252,4.04893137560933e-29
"qwen25_72b","user_like_minus_baseline",296,-0.0171078584539135,0.545716243491459,-0.0313493663748371,0.0317191123650146,295,-0.0785844895308413,0.0442645639442799,-0.539354892944075,0.59004883610438
"qwen25_72b","user_dislike_minus_baseline",296,-2.24127407280206,0.935003653359198,-2.39707520366344,0.0543459834599256,295,-2.34714381867805,-2.13352616715165,-41.2408411829508,1.70766461380173e-124
"qwen25_72b","user_like_minus_user_dislike",296,2.22416621434815,1.36067720920447,1.63460238718081,0.0790877563312746,295,2.06982334922019,2.37811430563663,28.1227628336274,1.80012005878686e-85
