"model_name","test","n_items","hotelling_t2","numerator_df","denominator_df","f_value","partial_eta_squared","p_value"
"qwen25_3b","Hotelling_T2_paired_repeated_measures",296,723.383607592231,2,294,360.465729884942,0.710325266627701,7.95903723855225e-80
"qwen25_7b","Hotelling_T2_paired_repeated_measures",296,516.949052609456,2,294,257.598341469797,0.63667671136271,2.30730908363884e-65
"llama3_8b","Hotelling_T2_paired_repeated_measures",296,770.271033376069,2,294,383.829972563668,0.723075169832524,1.06463076467553e-82
"mistral_7b","Hotelling_T2_paired_repeated_measures",296,7127.21171435914,2,294,3551.52583732473,0.960254434748973,1.24576359282725e-206
"gemma2_9b","Hotelling_T2_paired_repeated_measures",296,2308.80789392586,2,294,1150.49071324441,0.88670439140761,9.31799064678887e-140
"qwen25_14b","Hotelling_T2_paired_repeated_measures",296,600.439172482061,2,294,299.201892728349,0.670552719753937,1.3017608523337e-71
"qwen25_32b","Hotelling_T2_paired_repeated_measures",296,248.490380994474,2,294,123.824020359958,0.457212104729045,9.78661763267947e-40
"qwen25_72b","Hotelling_T2_paired_repeated_measures",296,3108.53388007266,2,294,1548.99823854468,0.91332538167838,7.41506340308981e-157
