model_name,model_label,layer,max_layer,relative_layer,alignment,target_layer,is_target_layer
mistral_7b,Mistral-7B v0.3,26,31,0.8387096774193549,0.2228494457466232,14,False
mistral_7b,Mistral-7B v0.3,27,31,0.8709677419354839,0.2051920927110926,14,False
mistral_7b,Mistral-7B v0.3,28,31,0.9032258064516129,0.16899269477817674,14,False
mistral_7b,Mistral-7B v0.3,29,31,0.9354838709677419,0.16523743795856485,14,False
mistral_7b,Mistral-7B v0.3,30,31,0.967741935483871,0.12059103233251528,14,False
mistral_7b,Mistral-7B v0.3,31,31,1.0,0.107491123591439,14,False
qwen25_7b,Qwen2.5 7B,0,27,0.0,0.08145396231101493,18,False
qwen25_7b,Qwen2.5 7B,1,27,0.037037037037037035,0.44114768177813657,18,False
qwen25_7b,Qwen2.5 7B,2,27,0.07407407407407407,0.43595560643816,18,False
qwen25_7b,Qwen2.5 7B,3,27,0.1111111111111111,0.625689699355493,18,False
qwen25_7b,Qwen2.5 7B,4,27,0.14814814814814814,0.5138596978846204,18,False
qwen25_7b,Qwen2.5 7B,5,27,0.18518518518518517,0.029376914484562637,18,False
qwen25_7b,Qwen2.5 7B,6,27,0.2222222222222222,0.6251382298568252,18,False
qwen25_7b,Qwen2.5 7B,7,27,0.25925925925925924,0.6496419234006658,18,False
qwen25_7b,Qwen2.5 7B,8,27,0.2962962962962963,0.5765254132358661,18,False
qwen25_7b,Qwen2.5 7B,9,27,0.3333333333333333,0.3371701705110872,18,False
qwen25_7b,Qwen2.5 7B,10,27,0.37037037037037035,0.29050108970513866,18,False
qwen25_7b,Qwen2.5 7B,11,27,0.4074074074074074,0.22448741791781962,18,False
qwen25_7b,Qwen2.5 7B,12,27,0.4444444444444444,0.25246121365322227,18,False
qwen25_7b,Qwen2.5 7B,13,27,0.48148148148148145,0.36412815386467584,18,False
qwen25_7b,Qwen2.5 7B,14,27,0.5185185185185185,0.4767902658344846,18,False
qwen25_7b,Qwen2.5 7B,15,27,0.5555555555555556,0.4593792473992947,18,False
qwen25_7b,Qwen2.5 7B,16,27,0.5925925925925926,0.46533376692174666,18,False
qwen25_7b,Qwen2.5 7B,17,27,0.6296296296296297,0.6544252097700543,18,False
qwen25_7b,Qwen2.5 7B,18,27,0.6666666666666666,0.8522162599291383,18,True
