model,factual_judgment_accuracy,alphabetical_order_accuracy
Qwen2.5-3B-Instruct,0.600,0.717
Mistral-7B-Instruct-v0.3,0.667,0.517
Qwen2.5-7B-Instruct,0.800,0.867
Llama-3.1-8B-Instruct,0.833,0.617
Gemma-2-9B-it,0.833,0.500
Qwen2.5-14B-Instruct,0.833,0.950
Qwen2.5-32B-Instruct,0.867,0.950
Qwen2.5-72B-Instruct,0.933,0.967
