figure,panel,displayed_role,task,model,source_path,source_record,layer,raw_alpha,normalized_alpha,alignment_pressure,item_field,item_value,match_status,notes
Figure 4,c,Baseline,Alphabetical Order (think-then-answer),Qwen2.5-14B-Instruct,data/source_data/qualitative_examples/figure4c_qwen25_14b_selected_outputs.json,raw_alpha=0,28,0,0,0,prompt,ice/house,exact_source_row,"Displayed text is a shortened excerpt of the selected raw response."
Figure 4,c,Conflicting Pressure,Alphabetical Order (think-then-answer),Qwen2.5-14B-Instruct,data/source_data/qualitative_examples/figure4c_qwen25_14b_selected_outputs.json,raw_alpha=34.8,28,34.8,0.6,-0.6,prompt,ice/house,exact_source_row,"Selected from the archived Qwen2.5-14B Layer-28 generation at raw alpha 34.8."
Figure 4,f,Conflicting Pressure,Factual Judgment,Qwen2.5-14B-Instruct,examples/factual_judgement/FactualTask_qwen25_14b_results_extracted.json,question=Are toads frogs?; alpha=-33.52,28,-33.52,-0.8,-0.8,question,Are toads frogs?,exact_source_row,"Displayed text is a shortened excerpt of the raw reasoning."
Figure 4,f,Aligning Pressure,Factual Judgment,Qwen2.5-14B-Instruct,examples/factual_judgement/FactualTask_qwen25_14b_results_extracted.json,question=Are toads frogs?; alpha=46.4,28,46.4,0.8,0.8,question,Are toads frogs?,exact_source_row,"Displayed text is a shortened excerpt of the raw reasoning."
Figure 5,a,Oppose,Stance-Taking,Qwen2.5-14B-Instruct,data/source_data/qualitative_examples/figure5a_qwen25_14b_selected_outputs.json,raw_alpha=-41.9,28,-41.9,-1,,prompt,Aliens have already visited Earth.,exact_source_row,"Selected from the archived Qwen2.5-14B Layer-28 illustration run at raw alpha -41.9."
Figure 5,a,Baseline,Stance-Taking,Qwen2.5-14B-Instruct,data/source_data/qualitative_examples/figure5a_qwen25_14b_selected_outputs.json,raw_alpha=0,28,0,0,,prompt,Aliens have already visited Earth.,exact_source_row,"Displayed text is a shortened excerpt of the selected raw response."
Figure 5,a,Support,Stance-Taking,Qwen2.5-14B-Instruct,data/source_data/qualitative_examples/figure5a_qwen25_14b_selected_outputs.json,raw_alpha=58,28,58,1,,prompt,Aliens have already visited Earth.,exact_source_row,"Displayed text is a shortened excerpt of the selected raw response."
