model_name,target_layer,pair_id,pair_class,domain,valence_status,opposition_status,word_A,word_B,template_name,alpha_raw,alpha_norm,vaa_projection_AB,vaa_projection_BA,vaa_projection_delta,abs_vaa_projection_delta,vaa_projection_unit_AB,vaa_projection_unit_BA,vaa_projection_unit_delta,abs_vaa_projection_unit_delta,vaa_projection_cosine_AB,vaa_projection_cosine_BA,vaa_projection_cosine_delta,abs_vaa_projection_cosine_delta,activation_norm_AB,activation_norm_BA
qwen25_14b,28,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,apple,banana,preference_control,0.0,0.0,-4.2548675537109375,-3.944015264511109,-0.3108522891998291,0.3108522891998291,-4.2548675537109375,-3.944015264511109,-0.3108522891998291,0.3108522891998291,-0.0382542423903942,-0.0358573012053966,-0.0023969411849975,0.0023969411849975,111.22603607177734,109.9919662475586
qwen25_14b,28,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,pear,plum,preference_control,0.0,0.0,-3.887583494186402,-5.7633562088012695,1.875772714614868,1.875772714614868,-3.887583494186402,-5.7633562088012695,1.875772714614868,1.875772714614868,-0.0351280532777309,-0.0521558038890361,0.0170277506113052,0.0170277506113052,110.66891479492188,110.502685546875
qwen25_14b,28,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,grape,melon,preference_control,0.0,0.0,-6.588212490081787,-4.876570701599121,-1.711641788482666,1.711641788482666,-6.588212490081787,-4.876570701599121,-1.711641788482666,1.711641788482666,-0.0596017092466354,-0.0446061976253986,-0.0149955116212368,0.0149955116212368,110.5373077392578,109.32495880126952
qwen25_14b,28,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,cat,dog,preference_control,0.0,0.0,-8.974128723144531,-8.927434921264648,-0.0466938018798828,0.0466938018798828,-8.974128723144531,-8.927434921264648,-0.0466938018798828,0.0466938018798828,-0.0805317685008049,-0.0800197720527648,-0.00051199644804,0.00051199644804,111.43588256835938,111.56536102294922
qwen25_14b,28,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,horse,goat,preference_control,0.0,0.0,-8.048521041870117,-9.842979431152344,1.7944583892822266,1.7944583892822266,-8.048521041870117,-9.842979431152344,1.7944583892822266,1.7944583892822266,-0.0732858404517173,-0.0890007391571998,0.0157148987054824,0.0157148987054824,109.8236846923828,110.59435272216795
qwen25_14b,28,neutral_nonopposite::neutral::005,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,sheep,deer,preference_control,0.0,0.0,-8.737520217895508,-8.490299224853516,-0.2472209930419922,0.2472209930419922,-8.737520217895508,-8.490299224853516,-0.2472209930419922,0.2472209930419922,-0.0779575109481811,-0.0770870521664619,-0.0008704587817192,0.0008704587817192,112.0805435180664,110.13910675048828
qwen25_14b,28,neutral_nonopposite::neutral::006,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,robin,sparrow,preference_control,0.0,0.0,-5.945596218109131,-5.547997951507568,-0.3975982666015625,0.3975982666015625,-5.945596218109131,-5.547997951507568,-0.3975982666015625,0.3975982666015625,-0.0540850050747394,-0.050208244472742,-0.0038767606019973,0.0038767606019973,109.93058776855467,110.49974060058594
qwen25_14b,28,neutral_nonopposite::neutral::007,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,table,chair,preference_control,0.0,0.0,-4.976112842559815,-7.447210788726807,2.471097946166992,2.471097946166992,-4.976112842559815,-7.447210788726807,2.471097946166992,2.471097946166992,-0.0447379387915134,-0.0677837207913398,0.0230457819998264,0.0230457819998264,111.22803497314452,109.86724853515624
qwen25_14b,28,neutral_nonopposite::neutral::008,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,fork,spoon,preference_control,0.0,0.0,-6.153265953063965,-3.3891563415527344,-2.7641096115112305,2.7641096115112305,-6.153265953063965,-3.3891563415527344,-2.7641096115112305,2.7641096115112305,-0.0555685125291347,-0.0309279337525367,-0.0246405787765979,0.0246405787765979,110.73296356201172,109.5823745727539
qwen25_14b,28,neutral_nonopposite::neutral::009,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,cup,bowl,preference_control,0.0,0.0,-4.644614219665527,-5.272530555725098,0.6279163360595703,0.6279163360595703,-4.644614219665527,-5.272530555725098,0.6279163360595703,0.6279163360595703,-0.0427622348070144,-0.0484230443835258,0.0056608095765113,0.0056608095765113,108.61486053466795,108.8847427368164
qwen25_14b,28,neutral_nonopposite::neutral::010,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,clock,lamp,preference_control,0.0,0.0,-5.406550407409668,-6.601923942565918,1.19537353515625,1.19537353515625,-5.406550407409668,-6.601923942565918,1.19537353515625,1.19537353515625,-0.0488333068788051,-0.0592471547424793,0.0104138478636741,0.0104138478636741,110.7144012451172,111.43022918701172
qwen25_14b,28,neutral_nonopposite::neutral::011,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,door,window,preference_control,0.0,0.0,-7.360546112060547,-9.322881698608398,1.962335586547852,1.962335586547852,-7.360546112060547,-9.322881698608398,1.962335586547852,1.962335586547852,-0.0671147778630256,-0.0850541815161705,0.0179394036531448,0.0179394036531448,109.6710205078125,109.61109161376952
qwen25_14b,28,neutral_nonopposite::neutral::012,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,river,lake,preference_control,0.0,0.0,-10.708218574523926,-8.759502410888672,-1.948716163635254,1.948716163635254,-10.708218574523926,-8.759502410888672,-1.948716163635254,1.948716163635254,-0.0957443863153457,-0.0788896530866622,-0.0168547332286834,0.0168547332286834,111.84173583984376,111.0348663330078
qwen25_14b,28,neutral_nonopposite::neutral::013,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,ocean,mountain,preference_control,0.0,0.0,-4.24494743347168,-7.366026401519775,3.121078968048096,3.121078968048096,-4.24494743347168,-7.366026401519775,3.121078968048096,3.121078968048096,-0.0384538620710372,-0.0666240230202674,0.0281701609492301,0.0281701609492301,110.3906707763672,110.56111907958984
qwen25_14b,28,neutral_nonopposite::neutral::014,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,island,valley,preference_control,0.0,0.0,-10.105700492858888,-10.12950325012207,0.0238027572631835,0.0238027572631835,-10.105700492858888,-10.12950325012207,0.0238027572631835,0.0238027572631835,-0.0900480598211288,-0.0908411368727684,0.0007930770516395,0.0007930770516395,112.2256317138672,111.50788879394533
qwen25_14b,28,neutral_nonopposite::neutral::015,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,algebra,geometry,preference_control,0.0,0.0,-2.530579090118408,-1.9801435470581052,-0.5504355430603027,0.5504355430603027,-2.530579090118408,-1.9801435470581052,-0.5504355430603027,0.5504355430603027,-0.0231418311595916,-0.018304580822587,-0.0048372503370046,0.0048372503370046,109.35086059570312,108.177490234375
qwen25_14b,28,neutral_nonopposite::neutral::016,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,physics,chemistry,preference_control,0.0,0.0,-4.858988761901856,-4.63848352432251,-0.2205052375793457,0.2205052375793457,-4.858988761901856,-4.63848352432251,-0.2205052375793457,0.2205052375793457,-0.0444277301430702,-0.0424095839262008,-0.0020181462168693,0.0020181462168693,109.36837768554688,109.37347412109376
