model_name,target_layer,pair_id,pair_class,domain,valence_status,opposition_status,word_A,word_B,template_name,alpha_raw,alpha_norm,vaa_projection_AB,vaa_projection_BA,vaa_projection_delta,abs_vaa_projection_delta,vaa_projection_unit_AB,vaa_projection_unit_BA,vaa_projection_unit_delta,abs_vaa_projection_unit_delta,vaa_projection_cosine_AB,vaa_projection_cosine_BA,vaa_projection_cosine_delta,abs_vaa_projection_cosine_delta,activation_norm_AB,activation_norm_BA
llama3_8b,13,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,apple,banana,preference_control,0.0,0.0,0.400752991437912,0.3777504563331604,0.0230025351047515,0.0230025351047515,0.400752991437912,0.3777504563331604,0.0230025351047515,0.0230025351047515,0.0512935295701026,0.0483980439603328,0.0028954856097698,0.0028954856097698,7.812934398651123,7.805077075958252
llama3_8b,13,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,pear,plum,preference_control,0.0,0.0,0.2692499756813049,0.2292261719703674,0.0400238037109375,0.0400238037109375,0.2692499756813049,0.2292261719703674,0.0400238037109375,0.0400238037109375,0.034498244524002,0.0294652637094259,0.0050329808145761,0.0050329808145761,7.804744243621826,7.779539108276367
llama3_8b,13,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,grape,melon,preference_control,0.0,0.0,0.3069343566894531,0.3256469070911407,-0.0187125504016876,0.0187125504016876,0.3069343566894531,0.3256469070911407,-0.0187125504016876,0.0187125504016876,0.0391790568828582,0.0419194772839546,-0.0027404204010963,0.0027404204010963,7.83414363861084,7.7683916091918945
llama3_8b,13,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,cat,dog,preference_control,0.0,0.0,0.3092259168624878,0.3378728032112121,-0.0286468863487243,0.0286468863487243,0.3092259168624878,0.3378728032112121,-0.0286468863487243,0.0286468863487243,0.0398831218481063,0.0435053929686546,-0.0036222711205482,0.0036222711205482,7.753303050994873,7.766227722167969
llama3_8b,13,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,horse,goat,preference_control,0.0,0.0,0.3224209547042846,0.2706748843193054,0.0517460703849792,0.0517460703849792,0.3224209547042846,0.2706748843193054,0.0517460703849792,0.0517460703849792,0.041241742670536,0.0345063991844654,0.0067353434860706,0.0067353434860706,7.817830562591553,7.844193458557129
llama3_8b,13,neutral_nonopposite::neutral::005,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,sheep,deer,preference_control,0.0,0.0,0.2870958149433136,0.318143755197525,-0.0310479402542114,0.0310479402542114,0.2870958149433136,0.318143755197525,-0.0310479402542114,0.0310479402542114,0.0364922508597373,0.0408117733895778,-0.0043195225298404,0.0043195225298404,7.867309093475342,7.79539155960083
llama3_8b,13,neutral_nonopposite::neutral::006,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,robin,sparrow,preference_control,0.0,0.0,0.3416630029678345,0.3708298504352569,-0.0291668474674224,0.0291668474674224,0.3416630029678345,0.3708298504352569,-0.0291668474674224,0.0291668474674224,0.0443358980119228,0.0486693941056728,-0.00433349609375,0.00433349609375,7.706238269805908,7.619364261627197
llama3_8b,13,neutral_nonopposite::neutral::007,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,table,chair,preference_control,0.0,0.0,0.23084157705307,0.2259208410978317,0.0049207359552383,0.0049207359552383,0.23084157705307,0.2259208410978317,0.0049207359552383,0.0049207359552383,0.0297535602003335,0.0290152840316295,0.000738276168704,0.000738276168704,7.758452415466309,7.786270141601562
llama3_8b,13,neutral_nonopposite::neutral::008,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,fork,spoon,preference_control,0.0,0.0,0.1904031634330749,0.1889651119709015,0.0014380514621734,0.0014380514621734,0.1904031634330749,0.1889651119709015,0.0014380514621734,0.0014380514621734,0.0244019385427236,0.0243096575140953,9.22810286283493e-05,9.22810286283493e-05,7.802788257598877,7.773252964019775
llama3_8b,13,neutral_nonopposite::neutral::009,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,cup,bowl,preference_control,0.0,0.0,0.2850736081600189,0.265418529510498,0.0196550786495208,0.0196550786495208,0.2850736081600189,0.265418529510498,0.0196550786495208,0.0196550786495208,0.037027895450592,0.0347212813794612,0.0023066140711307,0.0023066140711307,7.698887825012207,7.644260883331299
