model_name,target_layer,pair_id,pair_class,domain,valence_status,opposition_status,word_A,word_B,template_name,alpha_raw,alpha_norm,vaa_projection_AB,vaa_projection_BA,vaa_projection_delta,abs_vaa_projection_delta,vaa_projection_unit_AB,vaa_projection_unit_BA,vaa_projection_unit_delta,abs_vaa_projection_unit_delta,vaa_projection_cosine_AB,vaa_projection_cosine_BA,vaa_projection_cosine_delta,abs_vaa_projection_cosine_delta,activation_norm_AB,activation_norm_BA
qwen25_72b,52,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,apple,banana,preference_control,0.0,0.0,-0.6130424737930298,-0.5438897609710693,-0.0691527128219604,0.0691527128219604,-0.6130428314208984,-0.5438892841339111,-0.0691535472869873,0.0691535472869873,-0.0033667348325252,-0.0029858679044991,-0.000380866928026,0.000380866928026,182.0881500244141,182.15467834472656
qwen25_72b,52,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,pear,plum,preference_control,0.0,0.0,-2.310886859893799,-1.6226856708526611,-0.6882011890411377,0.6882011890411377,-2.310886859893799,-1.6226856708526611,-0.6882011890411377,0.6882011890411377,-0.012725162319839,-0.0089591247960925,-0.0037660375237464,0.0037660375237464,181.5998077392578,181.1210174560547
qwen25_72b,52,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,grape,melon,preference_control,0.0,0.0,-2.1816649436950684,-1.3398935794830322,-0.8417713642120361,0.8417713642120361,-2.1816654205322266,-1.339893460273743,-0.8417719602584839,0.8417719602584839,-0.0119131775572896,-0.0074259061366319,-0.0044872714206576,0.0044872714206576,183.1304168701172,180.4350433349609
qwen25_72b,52,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,cat,dog,preference_control,0.0,0.0,-4.779024124145508,-4.492189884185791,-0.2868342399597168,0.2868342399597168,-4.779023170471191,-4.492190361022949,-0.2868328094482422,0.2868328094482422,-0.0259753931313753,-0.0243789050728082,-0.001596488058567,0.001596488058567,183.98275756835935,184.2654571533203
qwen25_72b,52,neutral_nonopposite::neutral::004,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,horse,goat,preference_control,0.0,0.0,-5.145272254943848,-5.165436744689941,0.0201644897460937,0.0201644897460937,-5.145273685455322,-5.165436744689941,0.0201630592346191,0.0201630592346191,-0.0279748439788818,-0.0281311217695474,0.0001562777906656,0.0001562777906656,183.92498779296875,183.6200256347656
qwen25_72b,52,neutral_nonopposite::neutral::005,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,sheep,deer,preference_control,0.0,0.0,-6.149388790130615,-3.901339530944824,-2.248049259185791,2.248049259185791,-6.149389266967773,-3.9013400077819824,-2.248049259185791,2.248049259185791,-0.0336646623909473,-0.0215930473059415,-0.0120716150850057,0.0120716150850057,182.6660003662109,180.6757354736328
qwen25_72b,52,neutral_nonopposite::neutral::006,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,robin,sparrow,preference_control,0.0,0.0,-3.8585691452026367,-4.365537643432617,0.5069684982299805,0.5069684982299805,-3.858570098876953,-4.365537643432617,0.5069675445556641,0.5069675445556641,-0.021227229386568,-0.0241622757166624,0.0029350463300943,0.0029350463300943,181.77452087402344,180.67578125
qwen25_72b,52,neutral_nonopposite::neutral::007,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,table,chair,preference_control,0.0,0.0,-0.749706506729126,-1.6317461729049685,0.8820396661758423,0.8820396661758423,-0.7497074604034424,-1.6317461729049685,0.8820387125015259,0.8820387125015259,-0.0041323723271489,-0.0089629273861646,0.0048305550590157,0.0048305550590157,181.4228057861328,182.05506896972656
qwen25_72b,52,neutral_nonopposite::neutral::008,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,fork,spoon,preference_control,0.0,0.0,-3.890347480773926,-2.4841248989105225,-1.406222581863403,1.406222581863403,-3.8903489112854,-2.48412561416626,-1.4062232971191406,1.4062232971191406,-0.0214369688183069,-0.0136125618591904,-0.0078244069591164,0.0078244069591164,181.4784393310547,182.4877014160156
qwen25_72b,52,neutral_nonopposite::neutral::009,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,cup,bowl,preference_control,0.0,0.0,-4.011964797973633,-3.560743808746338,-0.4512209892272949,0.4512209892272949,-4.011964797973633,-3.5607450008392334,-0.4512197971343994,0.4512197971343994,-0.0220666732639074,-0.0195921715348958,-0.0024745017290115,0.0024745017290115,181.81105041503903,181.7432098388672
qwen25_72b,52,neutral_nonopposite::neutral::010,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,clock,lamp,preference_control,0.0,0.0,-4.544699668884277,-3.911464691162109,-0.633234977722168,0.633234977722168,-4.544700622558594,-3.911465167999268,-0.6332354545593262,0.6332354545593262,-0.0247676577419042,-0.0212706066668033,-0.0034970510751008,0.0034970510751008,183.4933319091797,183.890625
qwen25_72b,52,neutral_nonopposite::neutral::011,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,door,window,preference_control,0.0,0.0,-3.385164976119995,-2.93619441986084,-0.4489705562591553,0.4489705562591553,-3.385164976119995,-2.936194896697998,-0.448970079421997,0.448970079421997,-0.0187822189182043,-0.0162778124213218,-0.0025044064968824,0.0025044064968824,180.23245239257807,180.3801727294922
qwen25_72b,52,neutral_nonopposite::neutral::012,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,river,lake,preference_control,0.0,0.0,-5.273059368133545,-5.20237398147583,-0.0706853866577148,0.0706853866577148,-5.27306079864502,-5.202374458312988,-0.0706863403320312,0.0706863403320312,-0.0296288542449474,-0.0286837704479694,-0.0009450837969779,0.0009450837969779,177.97042846679688,181.36996459960935
