model_name,task,temperature,n_items,mean_positive_slope,bootstrap_ci_low,bootstrap_ci_high,ci_excludes_zero
llama3_8b,TruthfulQA,0.0,30,0.7999999999999997,0.6999999999999997,0.8833333333333331,True
llama3_8b,TruthfulQA,0.2,30,0.7833333333333332,0.6777777777777775,0.8749999999999998,True
llama3_8b,TruthfulQA,1.0,30,0.7763888888888887,0.6819444444444444,0.8569444444444442,True
llama3_8b,alphabetical_think_answer,0.0,30,0.6166666666666665,0.4583333333333332,0.7666666666666664,True
llama3_8b,alphabetical_think_answer,0.2,30,0.6666666666666664,0.522222222222222,0.8027777777777776,True
llama3_8b,alphabetical_think_answer,1.0,30,0.711111111111111,0.6027777777777775,0.8111111111111107,True
qwen25_14b,TruthfulQA,0.0,30,0.8916666666666663,0.8499999999999998,0.9333333333333331,True
qwen25_14b,TruthfulQA,0.2,30,0.8888888888888885,0.8388888888888886,0.9361111111111107,True
qwen25_14b,TruthfulQA,1.0,30,0.869444444444444,0.8333333333333331,0.9055555555555552,True
qwen25_14b,alphabetical_think_answer,0.0,30,0.7999999999999997,0.7416666666666665,0.8583333333333331,True
qwen25_14b,alphabetical_think_answer,0.2,30,0.8083333333333331,0.7749999999999998,0.8416666666666665,True
qwen25_14b,alphabetical_think_answer,1.0,30,0.7944444444444442,0.7499999999999998,0.8361111111111109,True
qwen25_32b,TruthfulQA,0.0,30,0.5999999999999999,0.45833333333333326,0.7249999999999998,True
qwen25_32b,TruthfulQA,0.2,30,0.6444444444444443,0.5333333333333332,0.7472222222222219,True
qwen25_32b,TruthfulQA,1.0,30,0.6444444444444443,0.5388888888888886,0.7416666666666665,True
qwen25_32b,alphabetical_think_answer,0.0,30,0.4666666666666666,0.325,0.5999999999999999,True
qwen25_32b,alphabetical_think_answer,0.2,30,0.4888888888888888,0.3555555555555555,0.6166666666666666,True
qwen25_32b,alphabetical_think_answer,1.0,30,0.5055555555555554,0.3888888888888888,0.6194444444444441,True
qwen25_72b,TruthfulQA,0.0,30,0.5333333333333332,0.3833333333333332,0.6833333333333331,True
qwen25_72b,TruthfulQA,0.2,30,0.547222222222222,0.4055555555555555,0.6777777777777776,True
qwen25_72b,TruthfulQA,1.0,30,0.5055555555555554,0.3638888888888888,0.6444444444444443,True
qwen25_72b,alphabetical_think_answer,0.0,30,0.12500000000000006,0.025000000000000147,0.225,True
qwen25_72b,alphabetical_think_answer,0.2,30,0.1083333333333334,0.04166666666666679,0.18333333333333338,True
qwen25_72b,alphabetical_think_answer,1.0,30,0.25277777777777777,0.1444444444444445,0.3694444444444444,True
qwen25_7b,TruthfulQA,0.0,30,0.8749999999999998,0.8333333333333331,0.9166666666666664,True
qwen25_7b,TruthfulQA,0.2,30,0.8861111111111108,0.8472222222222219,0.9249999999999997,True
qwen25_7b,TruthfulQA,1.0,30,0.8749999999999997,0.8277777777777775,0.9194444444444442,True
qwen25_7b,alphabetical_think_answer,0.0,30,0.8416666666666665,0.7999999999999997,0.8833333333333331,True
qwen25_7b,alphabetical_think_answer,0.2,30,0.847222222222222,0.8166666666666663,0.8805555555555552,True
qwen25_7b,alphabetical_think_answer,1.0,30,0.8555555555555554,0.8194444444444441,0.8916666666666664,True
