model_name,target_layer,pair_id,pair_class,domain,valence_status,opposition_status,alpha_norm,template_name,first_token_logit_diff_canonical_AB,first_token_logit_diff_canonical_BA,logprob_diff_canonical_AB,logprob_diff_canonical_BA,d_AB,d_BA,semantic_component,position_component,first_token_d_AB,first_token_d_BA,first_token_semantic_component,first_token_position_component
llama3_8b,13,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,3.625,-2.875,3.620854377746582,-2.8832035064697266,3.620854377746582,-2.8832035064697266,0.3688254356384277,3.2520289421081543,3.625,-2.875,0.375,3.25
llama3_8b,13,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,3.625,-3.25,3.624814033508301,-3.2385482788085938,3.624814033508301,-3.2385482788085938,0.1931328773498535,3.4316811561584477,3.625,-3.25,0.1875,3.4375
llama3_8b,13,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,2.125,-3.5,2.132603645324707,-3.5041732788085938,2.132603645324707,-3.5041732788085938,-0.6857848167419434,2.8183884620666504,2.125,-3.5,-0.6875,2.8125
llama3_8b,13,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,1.875,-3.625,1.87869930267334,-3.621395111083984,1.87869930267334,-3.621395111083984,-0.8713479042053223,2.750047206878662,1.875,-3.625,-0.875,2.75
llama3_8b,13,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,3.375,-4.375,3.366954803466797,-4.371479034423828,3.366954803466797,-4.371479034423828,-0.5022621154785156,3.869216918945313,3.375,-4.375,-0.5,3.875
llama3_8b,13,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,3.875,-4.625,3.863018035888672,-4.621479034423828,3.863018035888672,-4.621479034423828,-0.3792304992675781,4.24224853515625,3.875,-4.625,-0.375,4.25
llama3_8b,13,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,4.625,-4.75,4.620830535888672,-4.738777160644531,4.620830535888672,-4.738777160644531,-0.0589733123779296,4.679803848266602,4.625,-4.75,-0.0625,4.6875
llama3_8b,13,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,5.0,-5.125,4.999702453613281,-5.129398345947266,4.999702453613281,-5.129398345947266,-0.0648479461669921,5.064550399780273,5.0,-5.125,-0.0625,5.0625
llama3_8b,13,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.8,preference_control,5.125,-5.125,5.124662399291992,-5.137210845947266,5.124662399291992,-5.137210845947266,-0.0062742233276367,5.130936622619629,5.125,-5.125,0.0,5.125
llama3_8b,13,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,1.0,preference_control,5.25,-5.125,5.235990524291992,-5.129398345947266,5.235990524291992,-5.129398345947266,0.0532960891723632,5.182694435119629,5.25,-5.125,0.0625,5.1875
llama3_8b,13,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,-0.375,-0.5,-0.375,-0.5,-0.375,-0.5,-0.4375,0.0625,-0.375,-0.5,-0.4375,0.0625
llama3_8b,13,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,0.0,-0.875,0.0,-0.875,0.0,-0.875,-0.4375,0.4375,0.0,-0.875,-0.4375,0.4375
llama3_8b,13,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,0.75,-1.0,0.75,-0.99609375,0.75,-0.99609375,-0.123046875,0.873046875,0.75,-1.0,-0.125,0.875
llama3_8b,13,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,1.125,-0.5,1.123046875,-0.49609375,1.123046875,-0.49609375,0.3134765625,0.8095703125,1.125,-0.5,0.3125,0.8125
llama3_8b,13,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,1.625,-0.875,1.619140625,-0.87890625,1.619140625,-0.87890625,0.3701171875,1.2490234375,1.625,-0.875,0.375,1.25
llama3_8b,13,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,2.625,-2.5,2.630859375,-2.5078125,2.630859375,-2.5078125,0.0615234375,2.5693359375,2.625,-2.5,0.0625,2.5625
llama3_8b,13,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,3.0,-3.25,2.994140625,-3.248046875,2.994140625,-3.248046875,-0.126953125,3.12109375,3.0,-3.25,-0.125,3.125
llama3_8b,13,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,3.25,-3.75,3.25390625,-3.751953125,3.25390625,-3.751953125,-0.2490234375,3.5029296875,3.25,-3.75,-0.25,3.5
llama3_8b,13,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,3.375,-4.25,3.380859375,-4.2421875,3.380859375,-4.2421875,-0.4306640625,3.8115234375,3.375,-4.25,-0.4375,3.8125
llama3_8b,13,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.8,preference_control,3.5,-4.5,3.494140625,-4.51171875,3.494140625,-4.51171875,-0.5087890625,4.0029296875,3.5,-4.5,-0.5,4.0
llama3_8b,13,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,1.0,preference_control,3.5,-4.625,3.494140625,-4.638671875,3.494140625,-4.638671875,-0.572265625,4.06640625,3.5,-4.625,-0.5625,4.0625
