model_name,target_layer,pair_id,pair_class,domain,valence_status,opposition_status,alpha_norm,template_name,first_token_logit_diff_canonical_AB,first_token_logit_diff_canonical_BA,logprob_diff_canonical_AB,logprob_diff_canonical_BA,d_AB,d_BA,semantic_component,position_component,first_token_d_AB,first_token_d_BA,first_token_semantic_component,first_token_position_component
qwen25_72b,52,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,-5.25,2.0,-5.2447509765625,1.998046875,-5.2447509765625,1.998046875,-1.62335205078125,-3.62139892578125,-5.25,2.0,-1.625,-3.625
qwen25_72b,52,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,-4.75,1.75,-4.74139404296875,1.75390625,-4.74139404296875,1.75390625,-1.493743896484375,-3.247650146484375,-4.75,1.75,-1.5,-3.25
qwen25_72b,52,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,-3.75,1.0,-3.742431640625,1.0,-3.742431640625,1.0,-1.3712158203125,-2.3712158203125,-3.75,1.0,-1.375,-2.375
qwen25_72b,52,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,-2.5,-0.25,-2.4990234375,-0.25,-2.4990234375,-0.25,-1.37451171875,-1.12451171875,-2.5,-0.25,-1.375,-1.125
qwen25_72b,52,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,-0.75,-1.75,-0.75390625,-1.75390625,-0.75390625,-1.75390625,-1.25390625,0.5,-0.75,-1.75,-1.25,0.5
qwen25_72b,52,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,1.25,-3.5,1.248046875,-3.50146484375,1.248046875,-3.50146484375,-1.126708984375,2.374755859375,1.25,-3.5,-1.125,2.375
qwen25_72b,52,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,3.0,-5.125,2.998291015625,-5.119049072265625,2.998291015625,-5.119049072265625,-1.0603790283203125,4.0586700439453125,3.0,-5.125,-1.0625,4.0625
qwen25_72b,52,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,4.0,-5.75,4.0130615234375,-5.7468109130859375,4.0130615234375,-5.7468109130859375,-0.8668746948242188,4.879936218261719,4.0,-5.75,-0.875,4.875
qwen25_72b,52,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,5.0,-6.625,4.9932861328125,-6.6236724853515625,4.9932861328125,-6.6236724853515625,-0.8151931762695312,5.808479309082031,5.0,-6.625,-0.8125,5.8125
qwen25_72b,52,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.8,preference_control,5.5,-7.25,5.49591064453125,-7.249286651611328,5.49591064453125,-7.249286651611328,-0.8766880035400391,6.372598648071289,5.5,-7.25,-0.875,6.375
qwen25_72b,52,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,1.0,preference_control,5.75,-8.125,5.746826171875,-8.124698638916016,5.746826171875,-8.124698638916016,-1.1889362335205078,6.935762405395508,5.75,-8.125,-1.1875,6.9375
qwen25_72b,52,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,-2.375,2.75,-2.37939453125,2.75,-2.37939453125,2.75,0.185302734375,-2.564697265625,-2.375,2.75,0.1875,-2.5625
qwen25_72b,52,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,-1.5,2.125,-1.5009765625,2.12109375,-1.5009765625,2.12109375,0.31005859375,-1.81103515625,-1.5,2.125,0.3125,-1.8125
qwen25_72b,52,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,-0.25,1.125,-0.25,1.125,-0.25,1.125,0.4375,-0.6875,-0.25,1.125,0.4375,-0.6875
qwen25_72b,52,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,1.0,-0.125,1.0,-0.125,1.0,-0.125,0.4375,0.5625,1.0,-0.125,0.4375,0.5625
qwen25_72b,52,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,2.875,-1.625,2.882568359375,-1.625,2.882568359375,-1.625,0.6287841796875,2.2537841796875,2.875,-1.625,0.625,2.25
qwen25_72b,52,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,4.875,-3.125,4.867340087890625,-3.128662109375,4.867340087890625,-3.128662109375,0.8693389892578125,3.998001098632813,4.875,-3.125,0.875,4.0
qwen25_72b,52,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,6.375,-4.75,6.373252868652344,-4.7413330078125,6.373252868652344,-4.7413330078125,0.8159599304199219,5.557292938232422,6.375,-4.75,0.8125,5.5625
qwen25_72b,52,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,7.125,-5.75,7.124156951904297,-5.7467803955078125,7.124156951904297,-5.7467803955078125,0.6886882781982422,6.435468673706055,7.125,-5.75,0.6875,6.4375
qwen25_72b,52,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,7.375,-6.5,7.374340057373047,-6.49847412109375,7.374340057373047,-6.49847412109375,0.4379329681396484,6.936407089233398,7.375,-6.5,0.4375,6.9375
qwen25_72b,52,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.8,preference_control,7.625,-7.125,7.624485015869141,-7.124179840087891,7.624485015869141,-7.124179840087891,0.250152587890625,7.374332427978516,7.625,-7.125,0.25,7.375
qwen25_72b,52,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,1.0,preference_control,8.25,-8.25,8.249706268310547,-8.249723434448242,8.249706268310547,-8.249723434448242,-8.58306884765625e-06,8.249714851379395,8.25,-8.25,0.0,8.25
qwen25_72b,52,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,-2.5,0.875,-2.49853515625,0.625,-2.49853515625,0.625,-0.936767578125,-1.561767578125,-2.5,0.875,-0.8125,-1.6875
qwen25_72b,52,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,-1.875,0.5,-1.7529296875,0.375,-1.7529296875,0.375,-0.68896484375,-1.06396484375,-1.875,0.5,-0.6875,-1.1875
qwen25_72b,52,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,-0.75,-0.125,-0.876953125,0.0,-0.876953125,0.0,-0.4384765625,-0.4384765625,-0.75,-0.125,-0.4375,-0.3125
