model_name,target_layer,pair_id,pair_class,domain,valence_status,opposition_status,alpha_norm,template_name,first_token_logit_diff_canonical_AB,first_token_logit_diff_canonical_BA,logprob_diff_canonical_AB,logprob_diff_canonical_BA,d_AB,d_BA,semantic_component,position_component,first_token_d_AB,first_token_d_BA,first_token_semantic_component,first_token_position_component
qwen25_14b,28,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,-5.875,-5.75,-5.859375,-5.78125,-5.859375,-5.78125,-5.8203125,-0.0390625,-5.875,-5.75,-5.8125,-0.0625
qwen25_14b,28,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,-6.75,-5.25,-6.734375,-5.234375,-6.734375,-5.234375,-5.984375,-0.75,-6.75,-5.25,-6.0,-0.75
qwen25_14b,28,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,-6.25,-3.25,-6.2626953125,-3.24609375,-6.2626953125,-3.24609375,-4.75439453125,-1.50830078125,-6.25,-3.25,-4.75,-1.5
qwen25_14b,28,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,-5.75,-0.75,-5.746261596679688,-0.74609375,-5.746261596679688,-0.74609375,-3.246177673339844,-2.500083923339844,-5.75,-0.75,-3.25,-2.5
qwen25_14b,28,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,-3.75,0.75,-3.742431640625,0.75390625,-3.742431640625,0.75390625,-1.4942626953125,-2.2481689453125,-3.75,0.75,-1.5,-2.25
qwen25_14b,28,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,-0.25,-1.75,-0.25,-1.75390625,-0.25,-1.75390625,-1.001953125,0.751953125,-0.25,-1.75,-1.0,0.75
qwen25_14b,28,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,3.0,-5.5,2.998291015625,-5.49591064453125,2.998291015625,-5.49591064453125,-1.248809814453125,4.247100830078125,3.0,-5.5,-1.25,4.25
qwen25_14b,28,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,4.75,-8.0,4.74139404296875,-7.999664306640625,4.74139404296875,-7.999664306640625,-1.6291351318359375,6.370529174804688,4.75,-8.0,-1.625,6.375
qwen25_14b,28,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,5.5,-10.25,5.49591064453125,-10.249964714050291,5.49591064453125,-10.249964714050291,-2.377027034759521,7.8729376792907715,5.5,-10.25,-2.375,7.875
qwen25_14b,28,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.8,preference_control,6.5,-11.75,6.498497009277344,-11.7499920129776,6.498497009277344,-11.7499920129776,-2.625747501850128,9.124244511127472,6.5,-11.75,-2.625,9.125
qwen25_14b,28,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,1.0,preference_control,6.75,-12.75,6.748825073242188,-12.749996781349182,6.748825073242188,-12.749996781349182,-3.0005858540534973,9.749410927295685,6.75,-12.75,-3.0,9.75
qwen25_14b,28,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,-4.0,8.5,-4.0,8.5068359375,-4.0,8.5068359375,2.25341796875,-6.25341796875,-4.0,8.5,2.25,-6.25
qwen25_14b,28,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,-4.0,5.0,-4.009765625,4.99755859375,-4.009765625,4.99755859375,0.493896484375,-4.503662109375,-4.0,5.0,0.5,-4.5
qwen25_14b,28,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,-1.75,0.75,-1.7490234375,0.75,-1.7490234375,0.75,-0.49951171875,-1.24951171875,-1.75,0.75,-0.5,-1.25
qwen25_14b,28,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,0.75,-2.5,0.75390625,-2.49853515625,0.75390625,-2.49853515625,-0.872314453125,1.626220703125,0.75,-2.5,-0.875,1.625
qwen25_14b,28,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,3.25,-5.0,3.2431640625,-4.99169921875,3.2431640625,-4.99169921875,-0.874267578125,4.117431640625,3.25,-5.0,-0.875,4.125
qwen25_14b,28,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,6.75,-6.75,6.748794555664063,-6.7454833984375,6.748794555664063,-6.7454833984375,0.0016555786132812,6.747138977050781,6.75,-6.75,0.0,6.75
qwen25_14b,28,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,10.25,-8.0,10.249954223632812,-7.996444702148437,10.249954223632812,-7.996444702148437,1.1267547607421875,9.123199462890623,10.25,-8.0,1.125,9.125
qwen25_14b,28,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,12.25,-7.75,12.249990344047546,-7.74884033203125,12.249990344047546,-7.74884033203125,2.250575006008148,9.999415338039398,12.25,-7.75,2.25,10.0
qwen25_14b,28,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,13.75,-8.0,13.749990940093994,-7.999454498291016,13.749990940093994,-7.999454498291016,2.8752682209014893,10.874722719192505,13.75,-8.0,2.875,10.875
qwen25_14b,28,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.8,preference_control,14.75,-8.25,14.749978065490724,-8.249469757080078,14.749978065490724,-8.249469757080078,3.2502541542053223,11.4997239112854,14.75,-8.25,3.25,11.5
qwen25_14b,28,neutral_nonopposite::neutral::001,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,1.0,preference_control,15.5,-9.25,15.499924778938292,-9.248985290527344,15.499924778938292,-9.248985290527344,3.125469744205475,12.37445503473282,15.5,-9.25,3.125,12.375
qwen25_14b,28,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,-10.875,2.75,-10.86718773841858,2.75,-10.86718773841858,2.75,-4.0585938692092896,-6.8085938692092896,-10.875,2.75,-4.0625,-6.8125
qwen25_14b,28,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,-11.25,3.25,-11.22070324420929,3.2421875,-11.22070324420929,3.2421875,-3.9892578721046448,-7.231445372104645,-11.25,3.25,-4.0,-7.25
qwen25_14b,28,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,-9.625,2.75,-9.64550805091858,2.75390625,-9.64550805091858,2.75390625,-3.4458009004592896,-6.1997071504592896,-9.625,2.75,-3.4375,-6.1875
qwen25_14b,28,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,-7.0,1.5,-7.0063477754592896,1.5,-7.0063477754592896,1.5,-2.7531738877296448,-4.253173887729645,-7.0,1.5,-2.75,-4.25
qwen25_14b,28,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,-4.75,0.0,-4.7393800020217896,0.0,-4.7393800020217896,0.0,-2.3696900010108948,-2.3696900010108948,-4.75,0.0,-2.375,-2.375
qwen25_14b,28,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,-2.0,-5.0,-1.9941407442092896,-4.99310302734375,-1.9941407442092896,-4.99310302734375,-3.49362188577652,1.4994811415672302,-2.0,-5.0,-3.5,1.5
qwen25_14b,28,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,0.75,-11.25,0.7499998807907104,-11.249958038330078,0.7499998807907104,-11.249958038330078,-5.249979078769684,5.999978959560394,0.75,-11.25,-5.25,6.0
qwen25_14b,28,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,2.25,-13.75,2.2553709745407104,-13.749984860420229,2.2553709745407104,-13.749984860420229,-5.747306942939758,8.002677917480469,2.25,-13.75,-5.75,8.0
qwen25_14b,28,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,4.0,-15.25,4.011962890625,-15.249988675117493,4.011962890625,-15.249988675117493,-5.619012892246246,9.630975782871246,4.0,-15.25,-5.625,9.625
qwen25_14b,28,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.8,preference_control,5.25,-16.375,5.244110107421875,-16.374989867210388,5.244110107421875,-16.374989867210388,-5.565439879894257,10.809549987316132,5.25,-16.375,-5.5625,10.8125
qwen25_14b,28,neutral_nonopposite::neutral::002,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,1.0,preference_control,5.75,-17.5,5.74560546875,-17.49998915195465,5.74560546875,-17.49998915195465,-5.877191841602325,11.622797310352324,5.75,-17.5,-5.875,11.625
qwen25_14b,28,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,9.5,-4.875,9.5625,-4.8125,9.5625,-4.8125,2.375,7.1875,9.5,-4.875,2.3125,7.1875
qwen25_14b,28,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,9.5,-1.5,9.5,-1.5,9.5,-1.5,4.0,5.5,9.5,-1.5,4.0,5.5
qwen25_14b,28,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,10.125,2.0,10.15625,2.0,10.15625,2.0,6.078125,4.078125,10.125,2.0,6.0625,4.0625
qwen25_14b,28,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,10.75,3.0,10.76953125,3.0,10.76953125,3.0,6.884765625,3.884765625,10.75,3.0,6.875,3.875
qwen25_14b,28,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,9.625,3.25,9.61810302734375,3.2529296875,9.61810302734375,3.2529296875,6.435516357421875,3.182586669921875,9.625,3.25,6.4375,3.1875
qwen25_14b,28,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,10.5,1.5,10.499958753585815,1.5009765625,10.499958753585815,1.5009765625,6.000467658042908,4.499491095542908,10.5,1.5,6.0,4.5
qwen25_14b,28,neutral_nonopposite::neutral::003,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,11.5,-4.75,11.499978423118591,-4.740478515625,11.499978423118591,-4.740478515625,3.379749953746796,8.120228469371796,11.5,-4.75,3.375,8.125
