model_name,target_layer,pair_id,pair_class,domain,valence_status,opposition_status,alpha_norm,template_name,first_token_logit_diff_canonical_AB,first_token_logit_diff_canonical_BA,logprob_diff_canonical_AB,logprob_diff_canonical_BA,d_AB,d_BA,semantic_component,position_component,first_token_d_AB,first_token_d_BA,first_token_semantic_component,first_token_position_component
qwen25_32b,43,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-1.0,preference_control,-3.25,9.75,-3.2431640625,9.749935150146484,-3.2431640625,9.749935150146484,3.253385543823242,-6.496549606323242,-3.25,9.75,3.25,-6.5
qwen25_32b,43,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.8,preference_control,2.25,6.25,2.24365234375,6.248069763183594,2.24365234375,6.248069763183594,4.245861053466797,-2.002208709716797,2.25,6.25,4.25,-2.0
qwen25_32b,43,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.6,preference_control,5.75,3.25,5.746826171875,3.2431640625,5.746826171875,3.2431640625,4.4949951171875,1.2518310546875,5.75,3.25,4.5,1.25
qwen25_32b,43,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.4,preference_control,7.5,0.25,7.499446868896484,0.25,7.499446868896484,0.25,3.874723434448242,3.624723434448242,7.5,0.25,3.875,3.625
qwen25_32b,43,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,-0.2,preference_control,8.75,-2.25,8.74984073638916,-2.24365234375,8.74984073638916,-2.24365234375,3.25309419631958,5.49674654006958,8.75,-2.25,3.25,5.5
qwen25_32b,43,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.0,preference_control,10.25,-4.5,10.249964237213137,-4.48895263671875,10.249964237213137,-4.48895263671875,2.8805058002471924,7.369458436965942,10.25,-4.5,2.875,7.375
qwen25_32b,43,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.2,preference_control,12.0,-7.5,11.999993681907654,-7.499446868896484,11.999993681907654,-7.499446868896484,2.2502734065055847,9.749720275402067,12.0,-7.5,2.25,9.75
qwen25_32b,43,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.4,preference_control,12.75,-8.5,12.74999701976776,-8.499794960021973,12.74999701976776,-8.499794960021973,2.1251010298728943,10.624895989894869,12.75,-8.5,2.125,10.625
qwen25_32b,43,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.6,preference_control,12.0,-8.0,11.999993681907654,-7.999662399291992,11.999993681907654,-7.999662399291992,2.000165641307831,9.999828040599825,12.0,-8.0,2.0,10.0
qwen25_32b,43,neutral_nonopposite::neutral::000,neutral_nonopposite,neutral_nonopposite,neutral,nonopposite,0.8,preference_control,10.5,-6.5,10.499972343444824,-6.498497009277344,10.499972343444824,-6.498497009277344,2.00073766708374,8.499234676361084,10.5,-6.5,2.0,8.5
