model_name,target_layer,abs_pc1_d_projection_r,abs_direct_pc1_axis_pearson,d_stance_variance_ratio
qwen25_3b,26,0.998908076429814,0.8038944629928846,0.41888106765824606
mistral_7b,14,0.9473108983164225,0.520716094045748,0.0825482487499297
qwen25_7b,18,0.9889781264293667,0.6597346138614575,0.19424835457272807
llama3_8b,13,0.7409987234922435,0.3819078800484763,0.07188455626132594
gemma2_9b,22,0.9496069624022236,0.5110157230651708,0.1071694588437672
qwen25_14b,28,0.9949577328213933,0.6403783769958313,0.224959915086801
qwen25_32b,43,0.9944992216390273,0.5257397592272616,0.1441206044624272
qwen25_72b,52,0.9881503110620983,0.6055426943978791,0.21559070236010608
