"model_name","contrast","n_pairs","estimate","paired_sd","se","df","ci_low","ci_high","t_ratio","p_value","standardized_paired_effect_dz"
"qwen25_3b","true_statement_minus_direct_numeric",150,0.598181818181818,0.0993740462341698,0.00811385689831534,149,0.582148730028863,0.614214906334774,73.7234863368144,3.75381566520916e-119,6.01949745280809
"qwen25_3b","false_statement_minus_direct_numeric",150,-0.560909090909091,0.0967939670154352,0.0079031943122534,149,-0.576525907015942,-0.54529227480224,-70.9724535102771,9.2824360644775e-117,-5.79487656311933
"qwen25_3b","true_statement_minus_false_statement",150,1.15909090909091,0.0928335057646561,0.0075798240052376,149,1.14411307697199,1.17406874120982,152.917918449028,1.0679458875592e-165,12.4856957576216
"qwen25_7b","true_statement_minus_direct_numeric",150,0.641818181818182,0.0414395143103228,0.00338352217496841,149,0.635132297413441,0.648504066222923,189.689367655518,1.43143526198326e-179,15.4880720129073
"qwen25_7b","false_statement_minus_direct_numeric",150,-0.602424242424242,0.0627955139554474,0.00512723224422221,149,-0.612555720903898,-0.592292763944587,-117.49501753175,8.69075087495089e-149,-9.5934280090717
"qwen25_7b","true_statement_minus_false_statement",150,1.24424242424242,0.0783847888640465,0.00640009121042357,149,1.23159575967221,1.25688908881263,194.410108127206,3.72759793768311e-181,15.8735188583653
"llama3_8b","true_statement_minus_direct_numeric",150,0.625151515151515,0.106754607886625,0.00871647723377095,149,0.607927641274556,0.642375389028474,71.7206617289655,2.03337816722545e-117,5.85596750835743
"llama3_8b","false_statement_minus_direct_numeric",150,-0.596969696969697,0.199815952441613,0.0163149041983394,149,-0.629208162658352,-0.564731231281042,-36.5904506525058,2.41931062170561e-76,-2.98759778523757
"llama3_8b","true_statement_minus_false_statement",150,1.22212121212121,0.206831618727338,0.0168877309518619,149,1.18875083321906,1.25549159102336,72.3674018495939,5.538815434095e-118,5.90877361808162
"mistral_7b","true_statement_minus_direct_numeric",150,0.183333333333333,0.160892929170696,0.013136852656332,149,0.15737473937106,0.209291927295607,13.9556511844537,7.71183388583403e-29,1.13947414767264
"mistral_7b","false_statement_minus_direct_numeric",150,-0.195454545454546,0.172403440697078,0.0140766819869341,149,-0.223270254558867,-0.167638836350224,-13.8849869334241,1.18520402375096e-28,-1.13370443573669
"mistral_7b","true_statement_minus_false_statement",150,0.378787878787879,0.284359746705207,0.0232178760938276,149,0.332909049668521,0.424666707907237,16.3144930766763,5.68422135848271e-35,1.33207278166753
"gemma2_9b","true_statement_minus_direct_numeric",150,0.262121212121212,0.296475528211325,0.0242071255113289,149,0.21428761311685,0.309954811125574,10.8282667431348,1.61160403469551e-20,0.884124277314297
"gemma2_9b","false_statement_minus_direct_numeric",150,-0.450909090909091,0.255860370845798,0.0208909117990494,149,-0.492189807917955,-0.409628373900227,-21.5839832768624,1.02818460709262e-47,-1.76232485483594
"gemma2_9b","true_statement_minus_false_statement",150,0.713030303030303,0.426243248069308,0.0348026154692118,149,0.644259876245091,0.781800729815515,20.4878367162114,3.46910627878155e-45,1.67282486293921
"qwen25_14b","true_statement_minus_direct_numeric",150,0.644545454545455,0.0655787412336617,0.00535448179988289,149,0.633964927949189,0.65512598114172,120.374945444684,2.44514878070132e-150,9.82857313849459
"qwen25_14b","false_statement_minus_direct_numeric",150,-0.467878787878788,0.189989261636131,0.0155125582538884,149,-0.498531807408143,-0.437225768349433,-30.1612912726055,2.53380939109913e-65,-2.46265912004476
"qwen25_14b","true_statement_minus_false_statement",150,1.11242424242424,0.211745141514463,0.0172889184074616,149,1.07826111182311,1.14658737302538,64.3431946526011,1.2992473647882e-110,5.25359984398159
"qwen25_32b","true_statement_minus_direct_numeric",150,0.61,0.0948314887557781,0.00774295863333789,149,0.594699811706222,0.625300188293778,78.7812551875971,2.4405840253251e-123,6.43246255018677
"qwen25_32b","false_statement_minus_direct_numeric",150,-0.523333333333333,0.089018889012359,0.00726836185165758,149,-0.537695712132422,-0.508970954534245,-72.0015519334642,1.15432169651304e-117,-5.87890209751636
"qwen25_32b","true_statement_minus_false_statement",150,1.13333333333333,0.140092070018841,0.0114384696185472,149,1.11073076663449,1.15593590003218,99.0808535694028,6.76653621619222e-138,8.08991781748181
"qwen25_72b","true_statement_minus_direct_numeric",150,0.615757575757576,0.120846509820469,0.00986707620854616,149,0.596260103144225,0.635255048370927,62.4052721133592,1.05260329767519e-108,5.09536913124222
"qwen25_72b","false_statement_minus_direct_numeric",150,-0.524545454545455,0.109155715954716,0.00891252688657433,149,-0.542156725119835,-0.506934183971074,-58.8548524140354,4.63240118542867e-105,-4.80547857670658
"qwen25_72b","true_statement_minus_false_statement",150,1.14030303030303,0.167936901518509,0.0137119905901459,149,1.11320795620455,1.16739810440151,83.1610131881585,9.20093060396395e-127,6.79006829346169
