"model_name","score_mode","component","pair_class","valence_status","opposition_status","estimate","SE","df","ci_low","ci_high","p_value","p_holm_across_models"
"qwen25_3b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",0.283528977648479,0.397239567486768,203.999978477953,-0.499692741817671,1.06675069711463,0.47619875767061,1
"qwen25_3b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",6.36337535182473,0.223464715574219,203.999978640357,5.92277871166992,6.80397199197955,5.28114469785547e-73,3.16868681871328e-72
"qwen25_3b","sequence","semantic","neutral_opposite","neutral","opposite",-0.0230903572101501,0.405430935827694,203.999978454661,-0.822462677276252,0.776281962855952,0.954638675245996,1
"qwen25_3b","sequence","semantic","valenced_opposite","valenced","opposite",5.88183287926539,0.222063669063251,203.999978646772,5.44399862772242,6.31966713080836,5.99368811968069e-68,2.99684405984035e-67
"qwen25_3b","sequence","position","neutral_nonopposite","neutral","nonopposite",5.8904360275329,0.302190934410716,203.999981331436,5.29461798067036,6.48625407439545,1.77984734178214e-48,1.2458931392475e-47
"qwen25_3b","sequence","position","valenced_nonopposite","valenced","nonopposite",3.92855922070878,0.169995682037508,203.999982852825,3.59338538288449,4.26373305853307,7.12710992659455e-59,5.70168794127564e-58
"qwen25_3b","sequence","position","neutral_opposite","neutral","opposite",4.19337127712475,0.308422330917131,203.999981243513,3.5852670294753,4.80147552477419,2.13561448456034e-30,1.2813686907362e-29
"qwen25_3b","sequence","position","valenced_opposite","valenced","opposite",3.14477726007369,0.16892986788163,203.999982835796,2.81170484633691,3.47784967381047,7.3590217840588e-46,4.41541307043528e-45
"qwen25_3b","first_token","semantic","neutral_nonopposite","neutral","nonopposite",0.284820599255556,0.397218543566566,203.999982508236,-0.498359668077033,1.06800086658814,0.474171112440238,1
"qwen25_3b","first_token","semantic","valenced_nonopposite","valenced","nonopposite",6.33420431557064,0.223452888695102,203.999982335808,5.89363099405846,6.77477763708281,1.10746644408434e-72,6.64479866450603e-72
"qwen25_3b","first_token","semantic","neutral_opposite","neutral","opposite",-0.0242935393163708,0.40540947837899,203.99998250794,-0.823623552475279,0.775036473842537,0.952275255592382,1
"qwen25_3b","first_token","semantic","valenced_opposite","valenced","opposite",5.860393375498,0.222051916334577,203.999982344806,5.42258229639787,6.29820445459813,1.05889618625562e-67,5.2944809312781e-67
"qwen25_3b","first_token","position","neutral_nonopposite","neutral","nonopposite",5.89125141094707,0.302075241978695,203.999962409939,5.29566146999844,6.48684135189571,1.6605362036133e-48,1.16237534252931e-47
"qwen25_3b","first_token","position","valenced_nonopposite","valenced","nonopposite",3.89979181620766,0.169930599959765,203.999962060738,3.56474629796696,4.23483733444836,1.99297960840257e-58,1.59438368672206e-57
"qwen25_3b","first_token","position","neutral_opposite","neutral","opposite",4.19432261007978,0.30830425282315,203.99996242149,3.5864511720556,4.80219404810396,2.01232376640095e-30,1.20739425984057e-29
"qwen25_3b","first_token","position","valenced_opposite","valenced","opposite",3.13140165723292,0.168865193846015,203.999962049562,2.79845675856035,3.46434655590549,1.21192055896029e-45,7.27152335376172e-45
"qwen25_7b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",0.235913219566714,0.378713977005725,203.999997113082,-0.510782317263167,0.982608756396596,0.53402468121554,1
"qwen25_7b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",8.88185131549981,0.213043256720358,203.999997224321,8.4618022584198,9.30190037257982,8.89868180581237e-102,7.11894544464989e-101
"qwen25_7b","sequence","semantic","neutral_opposite","neutral","opposite",-0.00710459440940993,0.386523334218395,203.999997091863,-0.769197535429372,0.754988346610552,0.985353062153377,1
"qwen25_7b","sequence","semantic","valenced_opposite","valenced","opposite",8.44387646713025,0.211707549153522,203.999997223513,8.02646097241977,8.86129196184073,2.78979599326033e-98,2.23183679460826e-97
"qwen25_7b","sequence","position","neutral_nonopposite","neutral","nonopposite",3.79534319065104,0.264391034666475,203.999981589725,3.27405372778564,4.31663265351645,9.22631979667654e-33,4.61315989833827e-32
"qwen25_7b","sequence","position","valenced_nonopposite","valenced","nonopposite",2.52859437958603,0.148731577108281,203.999983128814,2.23534614582419,2.82184261334788,5.88486335656267e-41,2.35394534262507e-40
"qwen25_7b","sequence","position","neutral_opposite","neutral","opposite",3.29765892601202,0.269842969791401,203.99998148245,2.76562009588128,3.82969775614275,3.95193442158897e-26,1.97596721079448e-25
"qwen25_7b","sequence","position","valenced_opposite","valenced","opposite",2.01918606454836,0.147799081538935,203.99998317221,1.72777639583151,2.31059573326522,1.33517249641478e-30,5.34068998565913e-30
"qwen25_7b","first_token","semantic","neutral_nonopposite","neutral","nonopposite",0.236020905363486,0.378282894885764,203.999981569994,-0.509824684049338,0.98186649477631,0.5333725973436,1
"qwen25_7b","first_token","semantic","valenced_nonopposite","valenced","nonopposite",8.8794295834157,0.212800754081625,203.999981741133,8.45985865911409,9.29900050771731,7.59629489270756e-102,6.07703591416605e-101
"qwen25_7b","first_token","semantic","neutral_opposite","neutral","opposite",-0.00748645279396869,0.386083362872086,203.999981512554,-0.768711919864742,0.753739014276804,0.984548327508831,1
"qwen25_7b","first_token","semantic","valenced_opposite","valenced","opposite",8.44172042724186,0.211466566922497,203.999981748457,8.02478006758267,8.85866078690106,2.37763143130938e-98,1.90210514504751e-97
"qwen25_7b","first_token","position","neutral_nonopposite","neutral","nonopposite",3.79530815177684,0.264439332210034,203.999914232812,3.27392346150643,4.31669284204725,9.41053832572034e-33,4.70526916286017e-32
"qwen25_7b","first_token","position","valenced_nonopposite","valenced","nonopposite",2.52601256608009,0.148758746599232,203.999917641241,2.23271076273368,2.81931436942649,6.79935879424107e-41,2.71974351769643e-40
"qwen25_7b","first_token","position","neutral_opposite","neutral","opposite",3.2977824557393,0.26989226326538,203.999914067848,2.76564643454442,3.82991847693419,4.00206254257886e-26,2.00103127128943e-25
"qwen25_7b","first_token","position","valenced_opposite","valenced","opposite",2.01697390916375,0.147826080686569,203.999917684402,1.7255110067251,2.3084368116024,1.51328402708651e-30,6.05313610834604e-30
"qwen25_14b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",0.0970811474110643,0.66398733444309,203.999995149871,-1.21207671121532,1.40623900603745,0.883900512338065,1
"qwen25_14b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",10.0788306639052,0.373522058175025,203.999994472886,9.34237183031922,10.8152894974912,3.14051287898062e-69,1.57025643949031e-68
"qwen25_14b","sequence","semantic","neutral_opposite","neutral","opposite",0.41036063658232,0.677679235440122,203.999995185688,-0.925793007745164,1.7465142809098,0.545494559926649,1
"qwen25_14b","sequence","semantic","valenced_opposite","valenced","opposite",9.61713898560468,0.371180204003414,203.99999447022,8.88529749429846,10.3489804769109,1.92935824684911e-66,7.71743298739644e-66
"qwen25_14b","sequence","position","neutral_nonopposite","neutral","nonopposite",3.80844654592756,0.349411399852545,204.00000863652,3.11952575466907,4.49736733718604,4.27528686637851e-22,6.53886492059184e-22
"qwen25_14b","sequence","position","valenced_nonopposite","valenced","nonopposite",0.431643060575816,0.19655926920986,204.000009127477,0.0440948371107311,0.8191912840409,0.0292195647564916,0.0292195647564916
"qwen25_14b","sequence","position","neutral_opposite","neutral","opposite",2.66505399141833,0.356616516645968,204.000008555371,1.96192715317594,3.36818082966072,2.25905368315254e-12,4.51810736630509e-12
"qwen25_14b","sequence","position","valenced_opposite","valenced","opposite",0.933804182042577,0.195326910545911,204.00000912249,0.548685751956325,1.31892261212883,3.33981853019658e-06,6.67963706039316e-06
"qwen25_14b","first_token","semantic","neutral_nonopposite","neutral","nonopposite",0.097527517837471,0.664038584887649,203.999988399325,-1.21173138954456,1.4067864252195,0.883379471391711,1
"qwen25_14b","first_token","semantic","valenced_nonopposite","valenced","nonopposite",10.0755695235269,0.373550888802553,203.999987576613,9.33905384557161,10.8120852014822,3.3479153535184e-69,1.6739576767592e-68
"qwen25_14b","first_token","semantic","neutral_opposite","neutral","opposite",0.414075704033888,0.677731542706065,203.999988480923,-0.922181072746175,1.75033248081395,0.541897578567242,1
"qwen25_14b","first_token","semantic","valenced_opposite","valenced","opposite",9.60888836363173,0.371208853872873,203.999987566692,8.8769903843506,10.3407863429129,2.23386036501307e-66,8.93544146005229e-66
"qwen25_14b","first_token","position","neutral_nonopposite","neutral","nonopposite",3.80961027119435,0.348998699770119,203.999948530121,3.12150318333746,4.49771735905125,3.81967574422976e-22,5.65470062723102e-22
"qwen25_14b","first_token","position","valenced_nonopposite","valenced","nonopposite",0.428132229893765,0.19632710727514,203.999948115389,0.0410417503444453,0.815222709443085,0.0303488317402172,0.0303488317402172
"qwen25_14b","first_token","position","neutral_opposite","neutral","opposite",2.66764772407156,0.356195306388154,203.999948540254,1.96535136838766,3.36994407975547,2.051761119572e-12,4.103522239144e-12
"qwen25_14b","first_token","position","valenced_opposite","valenced","opposite",0.927380596625336,0.19509620418626,203.999948128356,0.542717040558949,1.31204415269172,3.77207356030173e-06,7.54414712060345e-06
"qwen25_32b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",-0.0318126403601342,0.560440157244982,203.999980276686,-1.1368105799393,1.07318529921903,0.954789012444817,1
"qwen25_32b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",9.85638434271125,0.315272220054703,203.999980234266,9.23477443652612,10.4779942488964,9.67884037350115e-80,6.7751882614508e-79
"qwen25_32b","sequence","semantic","neutral_opposite","neutral","opposite",-0.304278485807088,0.571996840256406,203.999980272292,-1.43206228530545,0.823505313691273,0.595333693928617,1
