"model_name","score_mode","component","pair_class","valence_status","opposition_status","alpha_norm","mean","ci_low","ci_high","n_pairs"
"qwen25_3b","sequence","semantic","neutral_opposite","neutral","opposite",1,0.663003355264664,-0.857379024165372,2.18370034061372,24
"qwen25_3b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",1,5.80632227885572,4.75194638675149,6.86511975826719,79
"qwen25_3b","sequence","semantic","valenced_opposite","valenced","opposite",1,4.86852942854166,3.92029690308496,5.83795681653544,80
"qwen25_3b","sequence","position","neutral_nonopposite","neutral","nonopposite",-1,-4.76767642259598,-5.81058708101511,-3.61881084150076,25
"qwen25_3b","sequence","position","neutral_opposite","neutral","opposite",-1,-6.03863060474396,-7.35702023071547,-4.70503389084091,24
"qwen25_3b","sequence","position","valenced_nonopposite","valenced","nonopposite",-1,-6.04806633840633,-6.74804651722123,-5.3796031329828,79
"qwen25_3b","sequence","position","valenced_opposite","valenced","opposite",-1,-4.1917742960155,-4.87397561453283,-3.52684014005587,80
"qwen25_3b","sequence","position","neutral_nonopposite","neutral","nonopposite",-0.8,-3.03887494564056,-4.10745836162567,-1.92195156741142,25
"qwen25_3b","sequence","position","neutral_opposite","neutral","opposite",-0.8,-5.14860843370358,-6.36090623171379,-3.74503616498162,24
"qwen25_3b","sequence","position","valenced_nonopposite","valenced","nonopposite",-0.8,-5.85174234984796,-6.53615759605471,-5.18474711981378,79
"qwen25_3b","sequence","position","valenced_opposite","valenced","opposite",-0.8,-3.95178146362305,-4.62988882442936,-3.26231171406806,80
"qwen25_3b","sequence","position","neutral_nonopposite","neutral","nonopposite",-0.6,-1.24299858093262,-2.39488416945934,-0.0753736215829851,25
"qwen25_3b","sequence","position","neutral_opposite","neutral","opposite",-0.6,-4.13533218453328,-5.38368049971759,-2.76487266005327,24
"qwen25_3b","sequence","position","valenced_nonopposite","valenced","nonopposite",-0.6,-5.59599826381176,-6.26070468816199,-4.920390030836,79
"qwen25_3b","sequence","position","valenced_opposite","valenced","opposite",-0.6,-3.61583564803004,-4.31826285846531,-2.92653031606227,80
"qwen25_3b","sequence","position","neutral_nonopposite","neutral","nonopposite",-0.4,0.765423629283905,-0.398283565700054,1.95981570601463,25
"qwen25_3b","sequence","position","neutral_opposite","neutral","opposite",-0.4,-2.98699301232894,-4.19281706238786,-1.60258085653186,24
"qwen25_3b","sequence","position","valenced_nonopposite","valenced","nonopposite",-0.4,-5.20422389537473,-5.88363019180826,-4.53826487534031,79
"qwen25_3b","sequence","position","valenced_opposite","valenced","opposite",-0.4,-3.15638832002878,-3.86729783046991,-2.44439101304859,80
"qwen25_3b","sequence","position","neutral_nonopposite","neutral","nonopposite",-0.2,2.75605338573456,1.54898763525486,3.99304725134373,25
"qwen25_3b","sequence","position","neutral_opposite","neutral","opposite",-0.2,-1.69891531268756,-2.93203283250332,-0.343783163279298,24
"qwen25_3b","sequence","position","valenced_nonopposite","valenced","nonopposite",-0.2,-4.61290076261834,-5.32748154839383,-3.90428566915702,79
"qwen25_3b","sequence","position","valenced_opposite","valenced","opposite",-0.2,-2.48534915447235,-3.19750022672117,-1.73969888506457,80
"qwen25_3b","sequence","position","neutral_nonopposite","neutral","nonopposite",0,4.58093734502792,3.37169932752848,5.78893712371588,25
"qwen25_3b","sequence","position","neutral_opposite","neutral","opposite",0,-0.305300963421663,-1.51126504323135,1.01977882316957,24
"qwen25_3b","sequence","position","valenced_nonopposite","valenced","nonopposite",0,-3.66740498814402,-4.37137929367114,-2.94339242824648,79
"qwen25_3b","sequence","position","valenced_opposite","valenced","opposite",0,-1.63503497242928,-2.43479083368555,-0.842344027832151,80
"qwen25_3b","sequence","position","neutral_nonopposite","neutral","nonopposite",0.2,8.29028788566589,7.21043018954992,9.36632863938808,25
