"model_name","target_layer","metric","pair_class","valence_status","opposition_status","mean","ci_low","ci_high","n_pairs"
"qwen25_32b",43,"vaa_projection_cosine_delta","neutral_nonopposite","neutral","nonopposite",-0.00109037548303604,-0.00423755701631306,0.00202826880663633,25
"qwen25_32b",43,"vaa_projection_cosine_delta","neutral_opposite","neutral","opposite",0.00153369487573704,-0.00109342510113489,0.00422216935160879,24
"qwen25_32b",43,"vaa_projection_cosine_delta","valenced_nonopposite","valenced","nonopposite",0.00496912057971273,0.00253959925715587,0.00730004613965605,79
"qwen25_32b",43,"vaa_projection_cosine_delta","valenced_opposite","valenced","opposite",0.00656672833247282,0.00445028440910389,0.00874461707688166,80
"qwen25_72b",52,"vaa_projection_delta","neutral_nonopposite","neutral","nonopposite",-0.168822741508484,-0.517970907092094,0.194288401603698,25
"qwen25_72b",52,"vaa_projection_delta","neutral_opposite","neutral","opposite",0.342588911453883,0.123339964201053,0.554622422655423,24
"qwen25_72b",52,"vaa_projection_delta","valenced_nonopposite","valenced","nonopposite",2.30587547791155,1.8713373730077,2.74897852132592,79
"qwen25_72b",52,"vaa_projection_delta","valenced_opposite","valenced","opposite",2.66759923547506,2.24508526872844,3.09756554696709,80
"qwen25_72b",52,"vaa_projection_unit_delta","neutral_nonopposite","neutral","nonopposite",-0.168822827339172,-0.530717261433601,0.183118545055389,25
"qwen25_72b",52,"vaa_projection_unit_delta","neutral_opposite","neutral","opposite",0.342588891585668,0.125753473242124,0.55314095194141,24
"qwen25_72b",52,"vaa_projection_unit_delta","valenced_nonopposite","valenced","nonopposite",2.30587607697596,1.86859937000878,2.74277144097075,79
"qwen25_72b",52,"vaa_projection_unit_delta","valenced_opposite","valenced","opposite",2.66759939044714,2.24814232137054,3.09442715790123,80
"qwen25_72b",52,"vaa_projection_cosine_delta","neutral_nonopposite","neutral","nonopposite",-0.000919947130605568,-0.00294825254590249,0.00108989727986045,25
"qwen25_72b",52,"vaa_projection_cosine_delta","neutral_opposite","neutral","opposite",0.00191164265076318,0.000714502392414334,0.00307826560262278,24
"qwen25_72b",52,"vaa_projection_cosine_delta","valenced_nonopposite","valenced","nonopposite",0.0128346213958921,0.0103740055349808,0.0152894705911962,79
"qwen25_72b",52,"vaa_projection_cosine_delta","valenced_opposite","valenced","opposite",0.0151729546603746,0.012789968621073,0.0174790708208456,80
"llama3_8b",13,"vaa_projection_delta","neutral_nonopposite","neutral","nonopposite",0.00403541803359986,-0.0115566985458135,0.0226601637303829,25
"llama3_8b",13,"vaa_projection_delta","neutral_opposite","neutral","opposite",-0.00108589697629213,-0.0228031436602274,0.0185453883993129,24
"llama3_8b",13,"vaa_projection_delta","valenced_nonopposite","valenced","nonopposite",0.0998808356308484,0.0717907211967284,0.128980596865751,79
"llama3_8b",13,"vaa_projection_delta","valenced_opposite","valenced","opposite",0.109991554217413,0.0806334685278125,0.140791584496619,80
"llama3_8b",13,"vaa_projection_unit_delta","neutral_nonopposite","neutral","nonopposite",0.00403541803359986,-0.0116102173924446,0.0222271648198366,25
"llama3_8b",13,"vaa_projection_unit_delta","neutral_opposite","neutral","opposite",-0.00108589697629213,-0.0226760310353711,0.0186693796111891,24
"llama3_8b",13,"vaa_projection_unit_delta","valenced_nonopposite","valenced","nonopposite",0.0998808356308484,0.0719915657127394,0.128846575092241,79
"llama3_8b",13,"vaa_projection_unit_delta","valenced_opposite","valenced","opposite",0.109991554217413,0.0802594621584285,0.140104328893358,80
"llama3_8b",13,"vaa_projection_cosine_delta","neutral_nonopposite","neutral","nonopposite",0.000504211857914922,-0.00162116944231091,0.00276242141984401,25
"llama3_8b",13,"vaa_projection_cosine_delta","neutral_opposite","neutral","opposite",-0.0001509020027394,-0.00297394484902419,0.00240754654708629,24
"llama3_8b",13,"vaa_projection_cosine_delta","valenced_nonopposite","valenced","nonopposite",0.0132905163292337,0.00967881213324702,0.0171655108687273,79
"llama3_8b",13,"vaa_projection_cosine_delta","valenced_opposite","valenced","opposite",0.0145656034837884,0.0106539392045306,0.0185660286687562,80
"mistral_7b",14,"vaa_projection_delta","neutral_nonopposite","neutral","nonopposite",-0.00339728835970163,-0.0170957120889798,0.00875936325546352,25
"mistral_7b",14,"vaa_projection_delta","neutral_opposite","neutral","opposite",-0.00733617041260003,-0.0195322062199314,0.00490224086679517,24
"mistral_7b",14,"vaa_projection_delta","valenced_nonopposite","valenced","nonopposite",-0.00346259300131351,-0.0144560730166268,0.00683331473148427,80
"mistral_7b",14,"vaa_projection_delta","valenced_opposite","valenced","opposite",0.0315830874256789,0.0216181157249957,0.0420274626975879,80
"mistral_7b",14,"vaa_projection_unit_delta","neutral_nonopposite","neutral","nonopposite",-0.00339728835970163,-0.0169618210736662,0.0092484678691253,25
"mistral_7b",14,"vaa_projection_unit_delta","neutral_opposite","neutral","opposite",-0.00733617041260003,-0.0194598615091915,0.00476075292875369,24
"mistral_7b",14,"vaa_projection_unit_delta","valenced_nonopposite","valenced","nonopposite",-0.00346259300131351,-0.014168839752092,0.00722432427050078,80
"mistral_7b",14,"vaa_projection_unit_delta","valenced_opposite","valenced","opposite",0.0315830874256789,0.0216477938974276,0.0416133922268636,80
"mistral_7b",14,"vaa_projection_cosine_delta","neutral_nonopposite","neutral","nonopposite",-0.00086669179843739,-0.00411233471462037,0.00230010949634013,25
"mistral_7b",14,"vaa_projection_cosine_delta","neutral_opposite","neutral","opposite",-0.00183052926634748,-0.00481126107624729,0.00132917594552661,24
"mistral_7b",14,"vaa_projection_cosine_delta","valenced_nonopposite","valenced","nonopposite",-0.000955664529465142,-0.00360826140153221,0.00160736680729313,80
"mistral_7b",14,"vaa_projection_cosine_delta","valenced_opposite","valenced","opposite",0.00782686860766259,0.00523462219047359,0.0102695780637441,80
"gemma2_9b",22,"vaa_projection_delta","neutral_nonopposite","neutral","nonopposite",0.0156954193115234,-0.544294445037842,0.522707850456238,25
"gemma2_9b",22,"vaa_projection_delta","neutral_opposite","neutral","opposite",0.173511028289795,-0.0801023999849955,0.408660326401393,24
"gemma2_9b",22,"vaa_projection_delta","valenced_nonopposite","valenced","nonopposite",1.96620382070541,1.32123287886381,2.64933576583862,80
"gemma2_9b",22,"vaa_projection_delta","valenced_opposite","valenced","opposite",2.3236203789711,1.70180522024631,2.94194897115231,80
"gemma2_9b",22,"vaa_projection_unit_delta","neutral_nonopposite","neutral","nonopposite",0.0156954193115234,-0.550789884567261,0.531169968605041,25
"gemma2_9b",22,"vaa_projection_unit_delta","neutral_opposite","neutral","opposite",0.173511028289795,-0.0645750065644582,0.433950666586558,24
"gemma2_9b",22,"vaa_projection_unit_delta","valenced_nonopposite","valenced","nonopposite",1.96620382070541,1.29014318943024,2.67069407463074,80
"gemma2_9b",22,"vaa_projection_unit_delta","valenced_opposite","valenced","opposite",2.3236203789711,1.72046915501356,3.00185668319464,80
"gemma2_9b",22,"vaa_projection_cosine_delta","neutral_nonopposite","neutral","nonopposite",1.4809481799592e-05,-0.00161140674166381,0.00152497389912602,25
"gemma2_9b",22,"vaa_projection_cosine_delta","neutral_opposite","neutral","opposite",0.000445577393596355,-0.000240137474611408,0.00118438730132763,24
"gemma2_9b",22,"vaa_projection_cosine_delta","valenced_nonopposite","valenced","nonopposite",0.00562981008552012,0.00377166896767446,0.00763005985587366,80
"gemma2_9b",22,"vaa_projection_cosine_delta","valenced_opposite","valenced","opposite",0.00672816617880013,0.00497653167520182,0.00864042816159778,80
