"model_name","score_mode","component","pair_class","valence_status","opposition_status","observed_mean_abs_slope","null_mean","null_ci_low","null_ci_high","p_value","n_permutations","p_fdr_within_model","p_holm_across_models"
"qwen25_3b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",0.996538899159803,0.30406989469419,0.208338701775029,0.413263148628154,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_3b","sequence","semantic","neutral_opposite","neutral","opposite",2.01818067234087,0.586960292084548,0.41490928012358,0.780130693770657,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_3b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",6.36337535182451,1.74384969873735,1.46049363836305,2.04804829279078,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_3b","sequence","semantic","valenced_opposite","valenced","opposite",5.88183287926521,1.6214709133,1.36088480227083,1.89942535215162,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_3b","sequence","position","neutral_nonopposite","neutral","nonopposite",5.89043602753234,1.55035717404903,1.11863640415717,2.01879474967025,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_3b","sequence","position","neutral_opposite","neutral","opposite",4.19337127712436,1.11888931155615,0.798481005598005,1.48321420808463,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_3b","sequence","position","valenced_nonopposite","valenced","nonopposite",3.92855922070863,1.09413969840058,0.905711587272816,1.28646246287535,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_3b","sequence","position","valenced_opposite","valenced","opposite",3.14651336147683,0.885711482955909,0.738237468737222,1.03796356749414,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_7b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",0.972227148306747,0.296087458393967,0.204749983243648,0.400365886645711,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_7b","sequence","semantic","neutral_opposite","neutral","opposite",1.91628423279522,0.559684606691267,0.372072978471762,0.784967602449299,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_7b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",8.88185131549975,2.406202626205,2.02422073288257,2.81161615008058,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_7b","sequence","semantic","valenced_opposite","valenced","opposite",8.44387646713022,2.29341621120811,1.93232651166546,2.69038913678192,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_7b","sequence","position","neutral_nonopposite","neutral","nonopposite",3.79534319065125,1.02771474524537,0.74406097105349,1.3331300833126,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_7b","sequence","position","neutral_opposite","neutral","opposite",3.29765892601227,0.91922866238755,0.649602042469781,1.22094172988654,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_7b","sequence","position","valenced_nonopposite","valenced","nonopposite",2.54559804638551,0.734330684816536,0.61000021480371,0.86942096866648,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_7b","sequence","position","valenced_opposite","valenced","opposite",2.03157185614157,0.610684275466279,0.508854601685696,0.72076368579316,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_14b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",1.67137165154125,0.557924909427995,0.375539308285152,0.762737038893181,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_14b","sequence","semantic","neutral_opposite","neutral","opposite",2.72633878056582,0.8950612169599,0.61862249894941,1.20371162299024,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_14b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",10.1528527026608,2.87953023114198,2.41560837989276,3.35450895786237,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_14b","sequence","semantic","valenced_opposite","valenced","opposite",9.62826559218733,2.70298189380738,2.26402774470655,3.15662744037559,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_14b","sequence","position","neutral_nonopposite","neutral","nonopposite",3.80844654592763,1.13532841463686,0.806806798997191,1.49685808015631,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_14b","sequence","position","neutral_opposite","neutral","opposite",3.0456047665941,1.19742820476103,0.845377332326884,1.59453532303732,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_14b","sequence","position","valenced_nonopposite","valenced","nonopposite",1.3708923236058,0.728464643747255,0.608649259071101,0.852846039162398,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_14b","sequence","position","valenced_opposite","valenced","opposite",1.47196024032085,0.649901622879006,0.54473626956831,0.765113404989854,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_32b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",1.79602145567603,0.515910607400734,0.349500361932472,0.70240909621769,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_32b","sequence","semantic","neutral_opposite","neutral","opposite",3.11398370414699,0.9204810535111,0.631810889673547,1.24061956242856,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_32b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",9.85638434271118,2.71887074927991,2.29269942684848,3.17869167008863,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_32b","sequence","semantic","valenced_opposite","valenced","opposite",10.2612428937885,2.8472593028411,2.40105445927006,3.31245180131786,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_32b","sequence","position","neutral_nonopposite","neutral","nonopposite",2.90894478506347,0.876317276670923,0.635680569100774,1.1339739965886,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_32b","sequence","position","neutral_opposite","neutral","opposite",1.13851745431189,0.477126216347059,0.329972207189876,0.637639514624676,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_32b","sequence","position","valenced_nonopposite","valenced","nonopposite",1.11883132339795,0.449765192378237,0.371635875599626,0.531434260451859,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_32b","sequence","position","valenced_opposite","valenced","opposite",1.13106680091819,0.443542899788557,0.366644843741072,0.524337439805779,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_72b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",0.811898281469032,0.243568504343165,0.165751839646545,0.335222143307876,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_72b","sequence","semantic","neutral_opposite","neutral","opposite",1.55195393187031,0.441066560633711,0.294680200419613,0.59821882835809,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_72b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",5.54093052236156,1.50622032674063,1.26309857238657,1.75925729108332,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_72b","sequence","semantic","valenced_opposite","valenced","opposite",5.75459694653561,1.56679735701987,1.30692132397139,1.83220562849671,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_72b","sequence","position","neutral_nonopposite","neutral","nonopposite",3.89597013401006,1.0177222099231,0.733030939576629,1.3237878192165,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_72b","sequence","position","neutral_opposite","neutral","opposite",2.88612343048083,0.779800247718638,0.547158727411307,1.03097965956465,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_72b","sequence","position","valenced_nonopposite","valenced","nonopposite",1.77858947094977,0.479486883690998,0.400117602696792,0.563354334937398,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"qwen25_72b","sequence","position","valenced_opposite","valenced","opposite",1.48663624726433,0.41013960127466,0.342277563026367,0.481741459161535,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"llama3_8b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",0.37072864185112,0.121542497637708,0.0859651194499383,0.161825709027827,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"llama3_8b","sequence","semantic","neutral_opposite","neutral","opposite",0.476168973765645,0.154711226441035,0.105797353183226,0.21059607018035,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"llama3_8b","sequence","semantic","valenced_nonopposite","valenced","nonopposite",1.70586274419413,0.475586888343401,0.393002619743015,0.561358933581105,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"llama3_8b","sequence","semantic","valenced_opposite","valenced","opposite",1.97362236896017,0.541653701134033,0.450755739607835,0.636505763630366,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"llama3_8b","sequence","position","neutral_nonopposite","neutral","nonopposite",1.01158369112142,0.271279228276547,0.192393908036549,0.357592687926064,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"llama3_8b","sequence","position","neutral_opposite","neutral","opposite",0.92104424571524,0.252149551828081,0.178204368997148,0.330468703915846,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"llama3_8b","sequence","position","valenced_nonopposite","valenced","nonopposite",0.850006095569654,0.243420347379021,0.202755734203589,0.286866511458693,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"llama3_8b","sequence","position","valenced_opposite","valenced","opposite",0.928119201803391,0.263793381476721,0.220443347957075,0.311338024159136,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
"mistral_7b","sequence","semantic","neutral_nonopposite","neutral","nonopposite",0.763994239002829,0.274036059836211,0.189257143561165,0.367899165080989,0.0001999600079984,5000,0.0001999600079984,0.0015996800639872
