"model_name","score_mode","pair_class","valence_status","opposition_status","estimate","SE","df","ci_low","ci_high","p_value","p_holm_across_models"
"qwen25_3b","sequence","neutral_nonopposite","neutral","nonopposite",-2.31168384504982,0.194725088568057,204,-2.69561568638267,-1.92775200371698,4.69106397224846e-25,3.75285117779877e-24
"qwen25_3b","sequence","valenced_nonopposite","valenced","nonopposite",0.555615724472803,0.109541420577335,204,0.339637189740885,0.771594259204722,8.81561594669122e-07,8.81561594669122e-07
"qwen25_3b","sequence","neutral_opposite","neutral","opposite",-0.880574953001556,0.198740461295834,204,-1.2724237476985,-0.488726158304611,1.53128535912224e-05,7.65642679561119e-05
"qwen25_3b","sequence","valenced_opposite","valenced","opposite",0.7457448380959,0.108854633740711,204,0.531120414109173,0.960369262082628,8.49424924273335e-11,8.49424924273335e-11
"qwen25_3b","first_token","neutral_nonopposite","neutral","nonopposite",-2.30891005966464,0.194654145526146,204,-2.69270202537637,-1.92511809395291,5.03195394313993e-25,4.02556315451195e-24
"qwen25_3b","first_token","valenced_nonopposite","valenced","nonopposite",0.559214513413171,0.10950151199828,204,0.343314664865731,0.775114361960612,7.49431627958451e-07,7.49431627958451e-07
"qwen25_3b","first_token","neutral_opposite","neutral","opposite",-0.882620742210248,0.198668055356882,204,-1.27432677694919,-0.490914707471301,1.4559781604524e-05,7.279890802262e-05
"qwen25_3b","first_token","valenced_opposite","valenced","opposite",0.744896194284355,0.10881497537465,204,0.530349963146932,0.959442425421778,8.75401174639581e-11,8.75401174639581e-11
"qwen25_7b","sequence","neutral_nonopposite","neutral","nonopposite",-1.76266690783994,0.217569086003145,204,-2.19163936547524,-1.33369445020463,4.89687192195723e-14,2.93812315317434e-13
"qwen25_7b","sequence","valenced_nonopposite","valenced","nonopposite",1.40307762339462,0.122392173138836,204,1.16176176243662,1.64439348435261,8.30351945762791e-24,4.98211167457674e-23
"qwen25_7b","sequence","neutral_opposite","neutral","opposite",-0.815346965955752,0.222055518546423,204,-1.25316514716999,-0.377528784741513,0.000307584726933131,0.000922754180799393
"qwen25_7b","sequence","valenced_opposite","valenced","opposite",1.69056865216394,0.121624816526383,204,1.45076575822702,1.93037154610087,2.41839102107814e-31,1.45103461264688e-30
"qwen25_7b","first_token","neutral_nonopposite","neutral","nonopposite",-1.76212704042917,0.214384976278539,204,-2.18482151345261,-1.33943256740573,2.34745175873212e-14,1.40847105523927e-13
"qwen25_7b","first_token","valenced_nonopposite","valenced","nonopposite",1.40386219761885,0.120600971475648,204,1.16607797892536,1.64164641631233,2.39449474009704e-24,1.43669684405822e-23
"qwen25_7b","first_token","neutral_opposite","neutral","opposite",-0.814810102550952,0.218805750167123,204,-1.24622084255181,-0.383399362550093,0.00025381533286228,0.000761445998586839
"qwen25_7b","first_token","valenced_opposite","valenced","opposite",1.68433755926202,0.119844845078373,204,1.44804416541356,1.92063095311049,7.98375060945802e-32,4.79025036567481e-31
"qwen25_14b","sequence","neutral_nonopposite","neutral","nonopposite",-1.14393285980959,0.263997519667793,204,-1.66444644426194,-0.623419275357242,2.30649951799457e-05,4.61299903598914e-05
"qwen25_14b","sequence","valenced_nonopposite","valenced","nonopposite",2.33386314536577,0.148510207626357,204,2.04105137729828,2.62667491343325,5.4346965254736e-37,3.80428756783152e-36
"qwen25_14b","sequence","neutral_opposite","neutral","opposite",-0.193687134244245,0.269441340227691,204,-0.724934086783966,0.337559818295475,0.473057691025769,0.473057691025769
"qwen25_14b","sequence","valenced_opposite","valenced","opposite",2.17771425981027,0.147579099967131,204,1.88673832029839,2.46869019932215,5.19000411983088e-34,3.63300288388162e-33
"qwen25_14b","first_token","neutral_nonopposite","neutral","nonopposite",-1.14730285390871,0.253828774572974,204,-1.64776712136237,-0.64683858645505,1.04709398125186e-05,2.09418796250373e-05
"qwen25_14b","first_token","valenced_nonopposite","valenced","nonopposite",2.33022546024625,0.142789841589466,204,2.04869231416729,2.61175860632521,7.35832222578464e-39,5.15082555804925e-38
"qwen25_14b","first_token","neutral_opposite","neutral","opposite",-0.194669782659547,0.259062908224884,204,-0.705453986725063,0.316114421405969,0.453254947780416,0.453254947780416
"qwen25_14b","first_token","valenced_opposite","valenced","opposite",2.13455471763282,0.14189459864766,204,1.85478668704881,2.41432274821682,6.63662143332332e-35,4.64563500332633e-34
"qwen25_32b","sequence","neutral_nonopposite","neutral","nonopposite",-0.692404087601793,0.225037127396071,204,-1.13610099037265,-0.248707184830935,0.00237912314263192,0.00237912314263192
"qwen25_32b","sequence","valenced_nonopposite","valenced","nonopposite",2.51024791949277,0.126593274646234,204,2.26064891099985,2.75984692798569,1.79647211823426e-49,1.43717769458741e-48
"qwen25_32b","sequence","neutral_opposite","neutral","opposite",1.10022275013737,0.229677556375861,204,0.647376495036585,1.55306900523815,3.19982540620883e-06,1.9198952437253e-05
"qwen25_32b","sequence","valenced_opposite","valenced","opposite",2.56423895799654,0.125799578579724,204,2.3162048489961,2.81227306699698,4.23851178704178e-51,3.39080942963342e-50
"qwen25_32b","first_token","neutral_nonopposite","neutral","nonopposite",-0.69163941938618,0.218707093097399,204,-1.12285564110119,-0.260423197671168,0.00180343677875679,0.00180343677875679
"qwen25_32b","first_token","valenced_nonopposite","valenced","nonopposite",2.51182228618166,0.123032352145293,204,2.26924420931436,2.75440036304895,3.40796741931877e-51,2.72637393545502e-50
"qwen25_32b","first_token","neutral_opposite","neutral","opposite",1.09585652531545,0.223216992173335,204,0.655748311976851,1.53596473865405,1.86821470275901e-06,1.30775029193131e-05
"qwen25_32b","first_token","valenced_opposite","valenced","opposite",2.51658414899616,0.12226098183179,204,2.27552695280731,2.75764134518501,1.10476701300027e-51,8.83813610400216e-51
"qwen25_72b","sequence","neutral_nonopposite","neutral","nonopposite",-2.02515816498265,0.212371628695501,204,-2.44388299931966,-1.60643333064564,4.65448021794238e-18,3.25813615255967e-17
