"Model","Predictor","Coefficient","Statistic","P_Value","CI_Lower","CI_Upper"
"gemma2_9b","alignment_pressure_z",-1.29055956581854,-5.5357003876439,3.09987087195063e-08,-1.74749366480878,-0.833625466828302
"llama3_8b","alignment_pressure_z",-0.986935728513863,-5.75188858919846,8.82519536878732e-09,-1.32323544172033,-0.6506360153074
"mistral_7b","alignment_pressure_z",-0.787272772975162,-4.68439546859286,2.80787418098912e-06,-1.11666987264058,-0.457875673309748
"qwen25_14b","alignment_pressure_z",-1.44904872103822,-6.05481386844628,1.4058011847232e-09,-1.91811075445256,-0.979986687623883
"qwen25_32b","alignment_pressure_z",-1.81076549877877,-5.82854621470321,5.59123137161575e-09,-2.41967122437827,-1.20185977317926
"qwen25_3b","alignment_pressure_z",-0.497125688746152,-3.03830441765348,0.00237913484686725,-0.817813912108783,-0.176437465383522
"qwen25_72b","alignment_pressure_z",-1.05520870116523,-4.99018745625632,6.0320726057033e-07,-1.46965626823292,-0.64076113409754
"qwen25_7b","alignment_pressure_z",-1.52279863262138,-6.42398502696264,1.32752266771106e-10,-1.98740595395194,-1.05819131129082
