"model_name","predictor","coefficient","statistic","p_value","ci_low","ci_high","n_rows","n_items"
"gemma2_9b","alignment_pressure_z",-1.29055959597652,-5.53569470450904,3.09997139818417e-08,-1.74749417474875,-0.833625017204281,330,30
"llama3_8b","alignment_pressure_z",-0.986935730041779,-5.75188755547889,8.8252493442649e-09,-1.3232355042081,-0.650635955875456,330,30
"mistral_7b","alignment_pressure_z",-0.787272190524721,-4.68438861957569,2.80796806498729e-06,-1.11666952810048,-0.457874852948964,330,30
"qwen25_14b","alignment_pressure_z",-1.44904869980894,-6.05482175784842,1.40573228959502e-09,-1.91811011516584,-0.979987284452044,330,30
"qwen25_32b","alignment_pressure_z",-1.8107654969871,-5.82856044466366,5.5907547098473e-09,-2.41966973538988,-1.20186125858432,330,30
"qwen25_3b","alignment_pressure_z",-0.497125731034348,-3.03830639390758,0.00237911924302412,-0.817813773086076,-0.17643768898262,330,30
"qwen25_72b","alignment_pressure_z",-1.05520869192106,-4.9901844538609,6.03216636556101e-07,-1.46965650471458,-0.640760879127533,330,30
"qwen25_7b","alignment_pressure_z",-1.52279865009705,-6.4239886843976,1.32749075456306e-10,-1.98740571223983,-1.05819158795427,330,30
