"endpoint","model_family","predictor","coefficient","standard_error","statistic","p_value","ci_low","ci_high","n_rows","n_items"
"Answer Stance","linear mixed-effects","z_a",0.784717787066938,0.0304226554738437,25.7938623320245,1.03907534980239e-146,0.725090478024134,0.844345096109742,330,30
"Reasoning Stance","linear mixed-effects","z_a",0.466529989631071,0.0381489453560927,12.2291713513009,2.17142426193176e-34,0.391759430684943,0.541300548577199,330,30
"Sound Reasoning","binomial mixed-effects","z_abs_a",-0.987732901259535,0.152887843778742,-6.46050645261879,1.04353143345267e-10,-1.28738756873986,-0.688078233779215,330,30
